seq,date,title,applies_to,words,post_parts,pdf,source_url
131,2022-12-08,Voice Chat Accessibility Turned off on Console Servers - December 8,all-platform,89,1,131_2022-12-08_Voice_Chat_Accessibility_Turned_off_on_Console_Servers_-_December_8.pdf,https://forums.elderscrollsonline.com/en/discussion/623547
132,2022-12-20,Xbox Patch Notes v1.30.2.0,xbox,360,1,132_2022-12-20_Xbox_Patch_Notes_v1.30.2.0.pdf,https://forums.elderscrollsonline.com/en/discussion/624240
133,2023-02-09,Xbox Patch Notes v1.30.3.0,xbox,38,1,133_2023-02-09_Xbox_Patch_Notes_v1.30.3.0.pdf,https://forums.elderscrollsonline.com/en/discussion/627268
134,2023-03-27,Hotfix for Xbox and PlayStation Consoles (3/27/2023),xbox,121,1,134_2023-03-27_Hotfix_for_Xbox_and_PlayStation_Consoles_3_27_2023.pdf,https://forums.elderscrollsonline.com/en/discussion/630112
135,2023-03-28,Xbox Patch Notes v1.31.0.0 - Scribes of Fate DLC & Update 37,xbox,10785,17,135_2023-03-28_Xbox_Patch_Notes_v1.31.0.0_-_Scribes_of_Fate_DLC_Update_37.pdf,https://forums.elderscrollsonline.com/en/discussion/630149
136,2023-04-10,Xbox Patch Notes v1.31.1.0,xbox,484,1,136_2023-04-10_Xbox_Patch_Notes_v1.31.1.0.pdf,https://forums.elderscrollsonline.com/en/discussion/631147
137,2023-04-26,Xbox Patch Notes v1.31.2.0,xbox,181,1,137_2023-04-26_Xbox_Patch_Notes_v1.31.2.0.pdf,https://forums.elderscrollsonline.com/en/discussion/632384
138,2023-06-19,Xbox Patch Notes v1.32.0.0 - Necrom & Update 38,xbox,11125,16,138_2023-06-19_Xbox_Patch_Notes_v1.32.0.0_-_Necrom_Update_38.pdf,https://forums.elderscrollsonline.com/en/discussion/636411
139,2023-07-12,Xbox Patch Notes v1.32.1.0,xbox,1509,7,139_2023-07-12_Xbox_Patch_Notes_v1.32.1.0.pdf,https://forums.elderscrollsonline.com/en/discussion/638251
140,2023-07-25,Xbox Patch Notes v1.32.2.0,xbox,622,1,140_2023-07-25_Xbox_Patch_Notes_v1.32.2.0.pdf,https://forums.elderscrollsonline.com/en/discussion/639439
141,2023-08-29,Resolving Invisible Enemies In Various Zones,unlabeled,28,1,141_2023-08-29_Resolving_Invisible_Enemies_In_Various_Zones.pdf,https://forums.elderscrollsonline.com/en/discussion/641974
142,2023-08-29,"Turning Off Suppressing Companions in Favor of Assistants - August 29, 2023",unlabeled,55,1,142_2023-08-29_Turning_Off_Suppressing_Companions_in_Favor_of_Assistants_-_August_29_.pdf,https://forums.elderscrollsonline.com/en/discussion/641998
143,2023-09-01,Xbox Patch Notes v1.33.0.0 [Update 39],xbox,14045,22,143_2023-09-01_Xbox_Patch_Notes_v1.33.0.0_Update_39.pdf,https://forums.elderscrollsonline.com/en/discussion/642202
144,2023-09-19,Xbox Patch Notes v1.33.1.0,xbox,512,1,144_2023-09-19_Xbox_Patch_Notes_v1.33.1.0.pdf,https://forums.elderscrollsonline.com/en/discussion/643443
145,2023-10-03,Xbox Patch Notes v1.33.2.0,xbox,196,1,145_2023-10-03_Xbox_Patch_Notes_v1.33.2.0.pdf,https://forums.elderscrollsonline.com/en/discussion/644259
146,2023-11-13,Xbox Patch Notes v1.34.0.0 [Update 40],xbox,8730,17,146_2023-11-13_Xbox_Patch_Notes_v1.34.0.0_Update_40.pdf,https://forums.elderscrollsonline.com/en/discussion/646924
147,2023-12-06,Xbox Patch Notes v1.34.1.0,xbox,838,1,147_2023-12-06_Xbox_Patch_Notes_v1.34.1.0.pdf,https://forums.elderscrollsonline.com/en/discussion/648355
148,2023-12-20,Xbox Patch Notes v1.34.2.0,xbox,274,1,148_2023-12-20_Xbox_Patch_Notes_v1.34.2.0.pdf,https://forums.elderscrollsonline.com/en/discussion/649070
149,2024-01-18,Xbox Patch Notes v1.34.3.0,xbox,81,1,149_2024-01-18_Xbox_Patch_Notes_v1.34.3.0.pdf,https://forums.elderscrollsonline.com/en/discussion/650485
150,2024-03-26,Xbox Patch Notes v1.35.0.0 - Scions of Ithelia DLC & Update 41,xbox,10792,15,150_2024-03-26_Xbox_Patch_Notes_v1.35.0.0_-_Scions_of_Ithelia_DLC_Update_41.pdf,https://forums.elderscrollsonline.com/en/discussion/655165
151,2024-04-03,Xbox/PlayStation Hotfix: Resolve Issue To Access To ESO & The Free Play Event,xbox,72,1,151_2024-04-03_Xbox_PlayStation_Hotfix_Resolve_Issue_To_Access_To_ESO_The_Free_Play_E.pdf,https://forums.elderscrollsonline.com/en/discussion/655718
152,2024-04-04,"Anniversary Jubilee Cake Slice Hotfix- April 4, 2024",unlabeled,60,1,152_2024-04-04_Anniversary_Jubilee_Cake_Slice_Hotfix-_April_4_2024.pdf,https://forums.elderscrollsonline.com/en/discussion/655786
153,2024-04-10,Xbox Patch Notes v1.35.1.0,xbox,635,1,153_2024-04-10_Xbox_Patch_Notes_v1.35.1.0.pdf,https://forums.elderscrollsonline.com/en/discussion/656131
154,2024-04-24,Xbox Patch Notes v1.35.2.0,xbox,161,1,154_2024-04-24_Xbox_Patch_Notes_v1.35.2.0.pdf,https://forums.elderscrollsonline.com/en/discussion/657424
155,2024-06-11,"Fix for Issue with Crown Pack Purchases on Steam – June 12, 2024",unlabeled,64,1,155_2024-06-11_Fix_for_Issue_with_Crown_Pack_Purchases_on_Steam_June_12_2024.pdf,https://forums.elderscrollsonline.com/en/discussion/660331
156,2024-06-15,"Fix For Zoning Disconnects and 334 Errors- June 15, 2024",unlabeled,127,2,156_2024-06-15_Fix_For_Zoning_Disconnects_and_334_Errors-_June_15_2024.pdf,https://forums.elderscrollsonline.com/en/discussion/660581
157,2024-06-18,Xbox Patch Notes v1.36.0.0 | Gold Road & Update 42,xbox,11839,16,157_2024-06-18_Xbox_Patch_Notes_v1.36.0.0_Gold_Road_Update_42.pdf,https://forums.elderscrollsonline.com/en/discussion/660749
158,2024-07-10,Xbox Patch Notes v1.36.1.0,xbox,1285,1,158_2024-07-10_Xbox_Patch_Notes_v1.36.1.0.pdf,https://forums.elderscrollsonline.com/en/discussion/662255
159,2024-07-24,Xbox Patch Notes v1.36.2.0,xbox,490,1,159_2024-07-24_Xbox_Patch_Notes_v1.36.2.0.pdf,https://forums.elderscrollsonline.com/en/discussion/662942
160,2024-09-04,Xbox Patch Notes v1.37.0.0,xbox,12343,20,160_2024-09-04_Xbox_Patch_Notes_v1.37.0.0.pdf,https://forums.elderscrollsonline.com/en/discussion/665037
161,2024-09-18,Xbox Patch Notes v1.37.1.0,xbox,838,4,161_2024-09-18_Xbox_Patch_Notes_v1.37.1.0.pdf,https://forums.elderscrollsonline.com/en/discussion/665917
162,2024-09-26,"Fix for Molag Bal Illusion Imp Fragments,  All Servers - Sept. 26, 2024",all-platform,38,1,162_2024-09-26_Fix_for_Molag_Bal_Illusion_Imp_Fragments_All_Servers_-_Sept._26_2024.pdf,https://forums.elderscrollsonline.com/en/discussion/666435
163,2024-10-02,Xbox Patch Notes v1.37.2.0,xbox,329,3,163_2024-10-02_Xbox_Patch_Notes_v1.37.2.0.pdf,https://forums.elderscrollsonline.com/en/discussion/666739
164,2024-10-30,"Hotfix for Nov. 1, 2024- Fixing Some Battlegrounds Bugs, Region Crash Issues, & Cryodiil Repair Kits",unlabeled,157,2,164_2024-10-30_Hotfix_for_Nov._1_2024-_Fixing_Some_Battlegrounds_Bugs_Region_Crash_Is.pdf,https://forums.elderscrollsonline.com/en/discussion/668104
165,2024-11-13,Xbox Patch Notes v1.38.0.0 | Update 44,xbox,12171,15,165_2024-11-13_Xbox_Patch_Notes_v1.38.0.0_Update_44.pdf,https://forums.elderscrollsonline.com/en/discussion/668827
166,2024-12-01,Xbox Patch Notes v1.38.1.0  | Update 44 Incremental Patch 1,xbox,846,7,166_2024-12-01_Xbox_Patch_Notes_v1.38.1.0_Update_44_Incremental_Patch_1.pdf,https://forums.elderscrollsonline.com/en/discussion/669647
167,2024-12-17,Xbox Patch Notes v1.38.2.0 | Update 44 Incremental Patch 2,xbox,333,5,167_2024-12-17_Xbox_Patch_Notes_v1.38.2.0_Update_44_Incremental_Patch_2.pdf,https://forums.elderscrollsonline.com/en/discussion/670670
168,2025-02-19,Xbox Patch Notes v1.38.3.0 | Update 44 Incremental Patch 3,xbox,35,2,168_2025-02-19_Xbox_Patch_Notes_v1.38.3.0_Update_44_Incremental_Patch_3.pdf,https://forums.elderscrollsonline.com/en/discussion/673601
169,2025-03-25,Xbox Patch Notes v1.39.0.0 | Fallen Banners DLC & Update 45,xbox,8008,17,169_2025-03-25_Xbox_Patch_Notes_v1.39.0.0_Fallen_Banners_DLC_Update_45.pdf,https://forums.elderscrollsonline.com/en/discussion/675145
170,2025-03-27,"Hotfix for Roksa the Warped Arms Pack, Mask, and Shoulder Styles (all megaservers)",all-platform,105,1,170_2025-03-27_Hotfix_for_Roksa_the_Warped_Arms_Pack_Mask_and_Shoulder_Styles_all_meg.pdf,https://forums.elderscrollsonline.com/en/discussion/675235
171,2025-04-02,Xbox Patch Notes v1.39.1.0 | Update 45 Incremental Patch 1,xbox,553,6,171_2025-04-02_Xbox_Patch_Notes_v1.39.1.0_Update_45_Incremental_Patch_1.pdf,https://forums.elderscrollsonline.com/en/discussion/675528
172,2025-04-07,Hotfix for Empty Bags of Jubilee Yesteryear and Reward Box Adjustments (all megaservers),all-platform,152,1,172_2025-04-07_Hotfix_for_Empty_Bags_of_Jubilee_Yesteryear_and_Reward_Box_Adjustments.pdf,https://forums.elderscrollsonline.com/en/discussion/675750
173,2025-04-11,"Hotfix for the Update 46 Prologue Quest and Reaper Strikes-  April 11, 2025 (all megaservers)",all-platform,79,1,173_2025-04-11_Hotfix_for_the_Update_46_Prologue_Quest_and_Reaper_Strikes-_April_11_2.pdf,https://forums.elderscrollsonline.com/en/discussion/676067
174,2025-04-15,Hotfix For Resolving Infinite Archive Region Crashes (all megaservers),all-platform,79,1,174_2025-04-15_Hotfix_For_Resolving_Infinite_Archive_Region_Crashes_all_megaservers.pdf,https://forums.elderscrollsonline.com/en/discussion/676391
175,2025-04-23,Xbox Patch Notes v1.39.2.0 | Update 45 Incremental Patch 2,xbox,255,4,175_2025-04-23_Xbox_Patch_Notes_v1.39.2.0_Update_45_Incremental_Patch_2.pdf,https://forums.elderscrollsonline.com/en/discussion/676903
176,2025-06-18,Xbox Patch Notes v1.40.0.0 | Update 46,xbox,13832,17,176_2025-06-18_Xbox_Patch_Notes_v1.40.0.0_Update_46.pdf,https://forums.elderscrollsonline.com/en/discussion/679227
177,2025-07-09,Xbox Patch Notes v1.40.1.0 | Update 46 Inc. 1,xbox,1282,4,177_2025-07-09_Xbox_Patch_Notes_v1.40.1.0_Update_46_Inc._1.pdf,https://forums.elderscrollsonline.com/en/discussion/680312
178,2025-07-23,Xbox Patch Notes v1.40.2.0 | Update 46 Inc. 2,xbox,458,3,178_2025-07-23_Xbox_Patch_Notes_v1.40.2.0_Update_46_Inc._2.pdf,https://forums.elderscrollsonline.com/en/discussion/681038
179,2025-09-03,Xbox Patch Notes v1.41.0.0 | Update 47,xbox,7809,14,179_2025-09-03_Xbox_Patch_Notes_v1.41.0.0_Update_47.pdf,https://forums.elderscrollsonline.com/en/discussion/682702
180,2025-09-16,Xbox Patch Notes v1.41.1.0 | Update 47 Console Incremental 1,xbox,693,7,180_2025-09-16_Xbox_Patch_Notes_v1.41.1.0_Update_47_Console_Incremental_1.pdf,https://forums.elderscrollsonline.com/en/discussion/683168
181,2025-09-30,Xbox Patch Notes v1.41.2.0 | Update 47 Console Incremental 2,xbox,145,3,181_2025-09-30_Xbox_Patch_Notes_v1.41.2.0_Update_47_Console_Incremental_2.pdf,https://forums.elderscrollsonline.com/en/discussion/683635
182,2025-10-15,Writhing Wall Event Hotfixes,unlabeled,79,1,182_2025-10-15_Writhing_Wall_Event_Hotfixes.pdf,https://forums.elderscrollsonline.com/en/discussion/684144
183,2025-11-11,Xbox Patch Notes v1.42.0.0 | Update 48 Seasons of the Worm Cult Part 2,xbox,4061,9,183_2025-11-11_Xbox_Patch_Notes_v1.42.0.0_Update_48_Seasons_of_the_Worm_Cult_Part_2.pdf,https://forums.elderscrollsonline.com/en/discussion/685144
184,2025-11-14,Writhing Fortress Hotfix - November 14,unlabeled,63,1,184_2025-11-14_Writhing_Fortress_Hotfix_-_November_14.pdf,https://forums.elderscrollsonline.com/en/discussion/685254
185,2025-12-03,Xbox Patch Notes v1.42.1.0 | Update 48 Incremental 1,xbox,920,5,185_2025-12-03_Xbox_Patch_Notes_v1.42.1.0_Update_48_Incremental_1.pdf,https://forums.elderscrollsonline.com/en/discussion/686063
186,2026-01-21,Xbox Patch Notes v1.42.2.0 | Update 48 Incremental 2,xbox,659,3,186_2026-01-21_Xbox_Patch_Notes_v1.42.2.0_Update_48_Incremental_2.pdf,https://forums.elderscrollsonline.com/en/discussion/687920
187,2026-03-09,Update 49 Live Patch Notes: All Platforms,all-platform,12834,12,187_2026-03-09_Update_49_Live_Patch_Notes_All_Platforms.pdf,https://forums.elderscrollsonline.com/en/discussion/689473
188,2026-03-30,Update 49 Inc.1 Live Patch Notes: All Platforms,all-platform,535,4,188_2026-03-30_Update_49_Inc.1_Live_Patch_Notes_All_Platforms.pdf,https://forums.elderscrollsonline.com/en/discussion/690278
189,2026-04-02,Hotfix for Weekly Challenges - April 3,unlabeled,147,2,189_2026-04-02_Hotfix_for_Weekly_Challenges_-_April_3.pdf,https://forums.elderscrollsonline.com/en/discussion/690532
190,2026-04-20,Update 49 Inc.2 Live Patch Notes: All Platforms,all-platform,601,6,190_2026-04-20_Update_49_Inc.2_Live_Patch_Notes_All_Platforms.pdf,https://forums.elderscrollsonline.com/en/discussion/691497
191,2026-04-30,Night Market Hotfix - April 30 (All Platforms),all-platform,45,1,191_2026-04-30_Night_Market_Hotfix_-_April_30_All_Platforms.pdf,https://forums.elderscrollsonline.com/en/discussion/692111
192,2026-04-30,Night Market Hotfix - Relic Splinters,unlabeled,91,2,192_2026-04-30_Night_Market_Hotfix_-_Relic_Splinters.pdf,https://forums.elderscrollsonline.com/en/discussion/692113
193,2026-05-04,Night Market Hotfixes - May 4 (All Platforms),all-platform,205,1,193_2026-05-04_Night_Market_Hotfixes_-_May_4_All_Platforms.pdf,https://forums.elderscrollsonline.com/en/discussion/692410
194,2026-06-08,Update 50 Live Patch Notes: All Platforms,all-platform,17908,14,194_2026-06-08_Update_50_Live_Patch_Notes_All_Platforms.pdf,https://forums.elderscrollsonline.com/en/discussion/693682
195,2026-06-09,Hotfixes for June 9 (All Platforms),all-platform,164,1,195_2026-06-09_Hotfixes_for_June_9_All_Platforms.pdf,https://forums.elderscrollsonline.com/en/discussion/693814
196,2026-06-11,Hotfixes on All Platforms - June 12 @ 4am EDT/9am BST,all-platform,127,1,196_2026-06-11_Hotfixes_on_All_Platforms_-_June_12_4am_EDT_9am_BST.pdf,https://forums.elderscrollsonline.com/en/discussion/693945
197,2026-06-12,All Platform Hotfix -June 12: Fixing Quen,all-platform,68,2,197_2026-06-12_All_Platform_Hotfix_-June_12_Fixing_Quen.pdf,https://forums.elderscrollsonline.com/en/discussion/693978
198,2026-06-25,Hotfix – June 26 (Console Servers),all-platform,45,1,198_2026-06-25_Hotfix_June_26_Console_Servers.pdf,https://forums.elderscrollsonline.com/en/discussion/695021
199,2026-06-29,Update 50 Inc.1 Live Patch Notes: All Platforms,all-platform,733,4,199_2026-06-29_Update_50_Inc.1_Live_Patch_Notes_All_Platforms.pdf,https://forums.elderscrollsonline.com/en/discussion/695308
200,2026-07-20,Update 50 Inc.2 Live Patch Notes: All Platforms,all-platform,869,3,200_2026-07-20_Update_50_Inc.2_Live_Patch_Notes_All_Platforms.pdf,https://forums.elderscrollsonline.com/en/discussion/696428
201,2026-08-10,Update 50 Inc.3 Live Patch Notes: All Platforms,all-platform,312,2,201_2026-08-10_Update_50_Inc.3_Live_Patch_Notes_All_Platforms.pdf,https://forums.elderscrollsonline.com/en/discussion/697520
202,2026-08-10,Disabling Proc Sets in Vengeance- Starting at 1:00pm ET/ 17:00 UTC,unlabeled,99,2,202_2026-08-10_Disabling_Proc_Sets_in_Vengeance-_Starting_at_1_00pm_ET_17_00_UTC.pdf,https://forums.elderscrollsonline.com/en/discussion/697546
