Set Name,Bonuses,Location(s),Set Type
Stone's Accord,"2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 4% Healing Done 4 items : Adds 25-1096 Maximum Magicka 5 items : On heal with an area effect, apply Minor Berserk and Minor Resolve to healed allies for 4 seconds. If a healed ally already has Minor Berserk or Minor Resolve from Stone's Accord, restore 12-550 Magicka . The restore can occur once every 5 seconds.",Earthen Root Enclave,Light Armor
Grave Inevitability,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Dealing damage with a Light or Heavy Attack grants you a stack of Remorseless for 5 seconds, up to 5 stacks, up to once every 0.5 seconds. While you have 5 stacks, you generate an aura of focus, granting you Major Force , increasing your Critical Damage by 20%, while group members within 12 meters of you gain Minor Force , increasing their Critical Damage by 10%.",Graven Deep,Light Armor
Pangrit Denmother,"2 items : Adds 4% Healing Taken 3 items : Adds 34-1487 Armor 4 items : Adds 3-129 Health Recovery 5 items : Adds 43-1890 Maximum Stamina 5 items : When you Block , you and up to 3 group members within 12 meters gain Minor Courage for 10 seconds, increasing your Weapon and Spell Damage by 215. This effect can occur once every 5 seconds.",Graven Deep,Heavy Armor
Phylactery's Grasp,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : On Light Attack Critical Damage , you apply Withered Soul, dealing 1500 Disease damage over 10 seconds. On Light Attack Critical Damage on an enemy with Withered Soul, restore 13-575 Stamina . Withered Soul can occur once every 10 seconds and the damage scales off the higher of your Weapon and Spell Damage .",Graven Deep,Medium Armor
Ritemaster's Bond,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 4% Healing Done 4 items : Adds 25-1096 Maximum Magicka 5 items : Healing an ally within 12 meters with a Direct Heal creates a 15 meter tether between you for 10 seconds. This effect can occur once every 15 seconds. You and allies touching the tether are healed for 981 Health every second, scaling off the higher of your Max Magicka or Stamina . If you or an ally is overhealed by the tether, they gain Minor Heroism for 1.5 seconds.",Bal Sunnar,Light Armor
Nix-Hound's Howl,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Completing a fully-charged Heavy Attack applies Major Cowardice to your target for 1 second per 1000 Weapon Damage you have, lowering their Weapon and Spell Damage by 430. You then gain Major Courage for the same duration, increasing your Weapon and Spell Damage by 430. This effect can occur once every 12 seconds. Current Durations Major Cowardice: 1 second Major Courage: 1 second",Bal Sunnar,Medium Armor
Telvanni Enforcer,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Magicka 5 items : While Bracing, increase your Magicka Recovery by 369. While you are not Bracing, increase your Stamina Recovery by 369.",Bal Sunnar,Heavy Armor
Runecarver's Blaze,2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 34-1487 Offensive Penetration 5 items : Your damage over time effects deal an additional 209 Flame damage every third damage tick. This damage scales off your Weapon and Spell Damage .,Scrivener's Hall,Light Armor
Apocryphal Inspiration,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Stamina Recovery 4 items : Adds 3-129 Weapon and Spell Damage 5 items : You and group members within 28 meters of you gain Major Fortitude , Major Intellect, and Major Endurance , increasing your Health Recovery , Magicka Recovery , and Stamina Recovery by 30%.",Scrivener's Hall,Medium Armor
Abyssal Brace,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 28-1206 Maximum Health 5 items : Adds 39-1710 Maximum Health 5 items : While you are Bracing, you and group members within 12 meters of you gain Minor Evasion , reducing damage from area attacks by 10%.",Scrivener's Hall,Heavy Armor
Blind Path Induction,2 items : Adds 25-1096 Maximum Magicka 3 items : Adds 4% Healing Done 4 items : Adds 25-1096 Maximum Magicka 5 items : Increase the strength of your Damage Shields by 13% to you and targets within 15 meters of you. Increase your Healing Done by 13% to targets more than 15 meters away from you.,Bedlam Veil,Light Armor
Tarnished Nightmare,"2 items : Adds 15-657 Critical Chance 3 items : Adds 15-657 Critical Chance 4 items : Adds 15-657 Critical Chance 5 items : When you deal Critical Damage to an enemy, glass shards burst 8 meters around them after 1.3 seconds, dealing 1129 Physical damage to enemies in the burst and applying the Sundered status effect . This effect can occur once every 8 seconds and the damage scales off the higher of your Weapon and Spell Damage .",Bedlam Veil,Medium Armor
Reflected Fury,"2 items : Adds 28-1206 Maximum Health 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Stamina 5 items : When you taunt an enemy, gain a stack of Broken Shards for 5 seconds, up to 5 stacks max. You can only gain one stack every 1 second. When Broken Shards ends, you release the stacks in an 8 meter blast, dealing 920 Physical damage to enemies hit and applying Major Maim to them for 3 seconds per stack of Broken Shards consumed, reducing their damage done by 10%. The damage scales off your Max Health .",Bedlam Veil,Heavy Armor
Cinders of Anthelmir,"2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : On dealing damage, summon a Cindermoth that chases your target without mercy for 8 seconds. If your target dies before the moth reaches them, it seeks a new target within 8 meters. The first enemy that nears the Cindermoth causes it to stop and burst after 1 second, dealing 1283 Flame damage and Burning enemies within 8 meters. This can occur once every 8 seconds and scales off your Weapon and Spell Damage .",Oathsworn Pit,Light Armor
Sluthrug's Hunger,"2 items : Adds 3-129 Stamina Recovery 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 34-1487 Offensive Penetration 5 items : Healing yourself or an ally makes the recipient Blood Hungry for 3 seconds. When you deal direct damage to an enemy, the enemy becomes Bloodied for 3 seconds. Bloodied enemies take 4% more damage from and deal 4% less damage to Blood Hungry targets.",Oathsworn Pit,Medium Armor
Black-Glove Grounding,"2 items : Adds 4% Healing Taken 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : After taking direct damage three times within 5 seconds, you create a 5 meter area for 10 seconds that grants Grounding to you and group members, reducing the cost of roll dodging by 20% and increasing block mitigation by 12% for 15 seconds. This effect can occur once every 10 seconds.",Oathsworn Pit,Heavy Armor
Vandorallen's Resonance,"2 items : Adds 34-1487 Offensive Penetration 3 items : Adds 15-657 Critical Chance 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Dealing damage with a fully-charged Heavy Attack places an electric charge on yourself and below your enemy. After 1 second, both charges explode in a 4 meter blast, each dealing 914 Shock damage to enemies hit. This effect can occur once every 6 seconds and scales off the higher of your Weapon and Spell Damage .",Exiled Redoubt,Light Armor
Jerensi's Bladestorm,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 34-1487 Offensive Penetration 4 items : Adds 34-1487 Offensive Penetration 5 items : While in combat, casting an ability that leaves an effect on the ground creates a 6 meter Spike Vortex that deals 3855 Physical damage over 5 seconds to enemies inside it. After 5 seconds, enemies within the Vortex are dealt 1925 Physical damage over 5 seconds. This effect can occur once every 15 seconds and scales off the higher of your Weapon and Spell Damage .",Exiled Redoubt,Medium Armor
Lucilla's Windshield,"2 items : Adds 4% Healing Taken 3 items : Adds 28-1206 Maximum Health 4 items : Adds 25-1096 Maximum Stamina 5 items : Blocking 3 attacks within 10 seconds creates an 8 meter Windshield at your feet for 10 seconds. Enemies within the area gain Minor Brittle , increasing their Critical Damage taken by 10%. While you are within the area, you gain Major Protection , reducing your damage taken by 10%. This effect can occur once every 7 seconds. You can only have 1 Windshield active at a time.",Exiled Redoubt,Heavy Armor
Fledgling's Nest,"2 items : Adds 3-129 Magicka Recovery 3 items : Adds 25-1096 Maximum Magicka 4 items : Adds 25-1096 Maximum Magicka 5 items : While in combat, casting an ability that leaves an effect on the ground creates an 8 meter Gryphon Nest for 10 seconds. You and group members inside the Nest gain 168 Magicka and Stamina Recovery . The first time you or a group member leaves the Nest, they gain Minor Courage for 10 seconds, increasing their Weapon and Spell Damage by 215. This effect can occur once every 10 seconds.",Lep Seclusa,Light Armor
Noxious Boulder,"2 items : Adds 3-129 Weapon and Spell Damage 3 items : Adds 15-657 Critical Chance 4 items : Adds 34-1487 Offensive Penetration 5 items : Dealing damage with a fully-charged Heavy Attack creates a 3 meter poison boulder. After 1.2 seconds the boulder rolls forward until it hits an enemy, dealing 1049 Poison damage in a 6 meter area and creating a 6 meter pool of poison for 5 seconds, dealing 730 Poison damage and applying the Poisoned status effect each second. This effect can occur once every 20 seconds and scales off the higher of your Weapon and Spell Damage .",Lep Seclusa,Medium Armor
Heroic Unity,"2 items : Adds 25-1096 Maximum Stamina 3 items : Adds 28-1206 Maximum Health 4 items : Adds 28-1206 Maximum Health 5 items : Activating a Synergy gives you and up to 3 group members within 12 meters Major Heroism for 6 seconds, granting 3 Ultimate every 1.5 seconds. This effect can occur once every 1 second.",Lep Seclusa,Heavy Armor
Black Foundry Steel,2 items : Adds 28-1206 Maximum Health 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Stamina 5 items : Automatically block all attacks at no cost for 2 seconds when you begin a Heavy Attack . This effect can occur once every 12 seconds.,Black Gem Foundry,Heavy Armor
Lustrous Soulwell,"2 items : Adds 3-129 Health Recovery 3 items : Adds 3-129 Magicka Recovery 4 items : Adds 25-1096 Maximum Magicka 5 items : When you use an Ultimate ability while in combat, you and the closest 3 group members within 28 meters of you gain 465 Health Recovery , Magicka Recovery , and Stamina Recovery that lasts for 2 seconds for each 20 Ultimate spent.",Black Gem Foundry,Light Armor
Vykand's Soulfury,"2 items : Adds 15-657 Critical Chance 3 items : Adds 34-1487 Offensive Penetration 4 items : Adds 3-129 Weapon and Spell Damage 5 items : While in combat, completing a fully-charged Heavy Attack grants you either Major Force , Major Berserk , or Major Courage for 12 seconds, increasing your Critical Damage done by 20%, your damage done by 10%, or your Weapon and Spell Damage by 430. This effect can occur once every 9 seconds.",Black Gem Foundry,Medium Armor
Stonehulk Domination,"2 items : Adds 4% Healing Taken 3 items : Adds 25-1096 Maximum Stamina 4 items : Adds 25-1096 Maximum Stamina 5 items : When you taunt an enemy, apply Major Vulnerability to them, increasing their damage taken by 10% for 12 seconds. This effect can occur once every 15 seconds.",Naj-Caldeesh,Heavy Armor
Tools of the Trapmaster,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 15-657 Critical Chance 5 items : Dealing direct damage with a non- Heavy Attack grants you a stack of Trapmaster for 5 seconds, up to 4 stacks max. You can gain a stack every 1 second. Dealing damage with a fully-charged Heavy Attack consumes the stacks, applies Sundered , and deals 353 Physical damage per stack consumed.",Naj-Caldeesh,Medium Armor
Xanmeer Spellweaver,"2 items : Adds 15-657 Critical Chance 3 items : Adds 3-129 Weapon and Spell Damage 4 items : Adds 3-129 Weapon and Spell Damage 5 items : Increase your damage done with Flame, Frost, and Shock Damage by 5%. Increase your damage done with Burning , Chilled , and Concussion by an additional 15%.",Naj-Caldeesh,Light Armor
