Skill Name,ID,Mechanic,Class,Skill Line,Set Name,#,Description,Equations
Annulment 3,41107,Werewolf,Armor,Light Armor,,2,"Convert a portion of your Magicka into a protective ward, gaining a damage shield that absorbs <<1>> damage for <<2>>. Damage shield strength capped at 50% of your Max Health.","<<1>> = 0.3066 Magicka  (Magicka, RankMod(1.022), DmgShield, SingleTarget, Direct, 6s duration, R2 = 1) <<2>> = 6 seconds (Constant)"
Annulment 4,41108,Werewolf,Armor,Light Armor,,2,"Convert a portion of your Magicka into a protective ward, gaining a damage shield that absorbs <<1>> damage for <<2>>. Damage shield strength capped at 50% of your Max Health.","<<1>> = 0.3099 Magicka  (Magicka, RankMod(1.033), DmgShield, SingleTarget, Direct, 6s duration, R2 = 1) <<2>> = 6 seconds (Constant)"
Ansuul's Torment,194100,Magicka,,,Ansuul's Torment,3,"Increases your damage done against monsters by <<1>>. When you interrupt an enemy, you increase your damage done against monsters by an additional <<2>> for <<3>>.",<<1>> = 0% (Constant) <<2>> = 0% (Constant) <<3>> = 30 seconds (Constant)
Anthelmir's Construct,215025,Magicka,,,Anthelmir's Construct,6,"Dealing damage with a fully-charged Heavy Attack throws an axe at the enemy, dealing <<1>> and reducing their Armor by <<2>> for <<3>>. This effect can occur once every <<4>> and scales off the higher of your Weapon or Spell Damage.  The axe drops to the ground after traveling to your target for <<5>>. Touching the axe reduces the cooldown of this set by <<6>>.","<<1>> = 6.01E-5 MaxStat + 1.57223 MaxPower - 0.99518  (Ultimate, ratio = 26160.23, Dmg, Physical, SingleTarget, Direct, R2 = 1) <<2>> = -3.06E-5 MaxStat + 0.399868 MaxPower + 0.481987  (Ultimate, ratio = -13067.58, SingleTarget, Direct, 5s duration, R2 = 0.999999) <<3>> = 5 seconds (Constant) <<4>> = 10 seconds (Constant) <<5>> = 5 seconds (Constant) <<6>> = 5 seconds (Constant)"
Anti-Cavalry Caltrops 1,40255,Power,Alliance War,Assault,,3,"Hurl a ball of caltrops that scatter over the target area, dealing <<1>> every <<2>> to enemies inside, and reducing their Movement Speed by <<3>>.  The caltrops also drain the Mount Stamina of any enemy in the area.","<<1>> = 0.0124376 MaxStat + 0.131346 MaxPower + 0.533008  (Ultimate, ratio = 10.56, Dmg, Physical, AOE, DOT, 1s tick, R2 = 0.999978) <<2>> = 1 second (Constant) <<3>> = 50% (Constant)"
Anti-Cavalry Caltrops 2,46396,Power,Alliance War,Assault,,3,"Hurl a ball of caltrops that scatter over the target area, dealing <<1>> every <<2>> to enemies inside, and reducing their Movement Speed by <<3>>.  The caltrops also drain the Mount Stamina of any enemy in the area.","<<1>> = 0.0124376 MaxStat + 0.131346 MaxPower + 0.533008  (Ultimate, ratio = 10.56, Dmg, Physical, AOE, DOT, 1s tick, R2 = 0.999978) <<2>> = 1 second (Constant) <<3>> = 50% (Constant)"
Anti-Cavalry Caltrops 3,46408,Power,Alliance War,Assault,,3,"Hurl a ball of caltrops that scatter over the target area, dealing <<1>> every <<2>> to enemies inside, and reducing their Movement Speed by <<3>>.  The caltrops also drain the Mount Stamina of any enemy in the area.","<<1>> = 0.0124376 MaxStat + 0.131346 MaxPower + 0.533008  (Ultimate, ratio = 10.56, Dmg, Physical, AOE, DOT, 1s tick, R2 = 0.999978) <<2>> = 1 second (Constant) <<3>> = 50% (Constant)"
Anti-Cavalry Caltrops 4,46420,Power,Alliance War,Assault,,3,"Hurl a ball of caltrops that scatter over the target area, dealing <<1>> every <<2>> to enemies inside, and reducing their Movement Speed by <<3>>.  The caltrops also drain the Mount Stamina of any enemy in the area.","<<1>> = 0.0124376 MaxStat + 0.131346 MaxPower + 0.533008  (Ultimate, ratio = 10.56, Dmg, Physical, AOE, DOT, 1s tick, R2 = 0.999978) <<2>> = 1 second (Constant) <<3>> = 50% (Constant)"
Antiweather Charge,253633,Werewolf,,,,4,"Violently drain the last spark of life from a corpse, dealing <<1>> over <<2>> to all enemies around the corpse and between you and the corpse.   If the siphon lasts its full duration it causes the corpse to explode, dealing an additional <<3>> to all enemies around the corpse. This ability scales off your highest offensive stats.  While slotted, your damage done is increased by <<4>>.","<<1>> = 0.009182 MaxStat + 0.096413 MaxPower  (Ultimate, ratio = 10.50, Dmg, Disease, AOE, DOT, 19.333s duration, 0.666s tick, R2 = 1) <<2>> = 20 seconds (Constant) <<3>> = 0.077475 MaxStat + 0.813488 MaxPower  (Ultimate, ratio = 10.50, Dmg, Disease, AOE, Direct, Melee, R2 = 1) <<4>> = 3% (Constant)"
Antiweather Charge,261185,Werewolf,,,,4,"Violently drain the last spark of life from a corpse, dealing <<1>> over <<2>> to all enemies around the corpse and between you and the corpse.   If the siphon lasts its full duration it causes the corpse to explode, dealing an additional <<3>> to all enemies around the corpse. This ability scales off your highest offensive stats.  While slotted, your damage done is increased by <<4>>.","<<1>> = 0.009182 MaxStat + 0.096413 MaxPower  (Ultimate, ratio = 10.50, Dmg, Disease, AOE, DOT, 19.333s duration, 0.666s tick, R2 = 1) <<2>> = 20 seconds (Constant) <<3>> = 0.077475 MaxStat + 0.813488 MaxPower  (Ultimate, ratio = 10.50, Dmg, Disease, AOE, Direct, Melee, R2 = 1) <<4>> = 3% (Constant)"
Apocryphal Emissary,220775,Magicka,,,,5,An emissary from Apocrypha comes to your defense!  This protector aids you during combat and grants you permanent boons from Apocrypha's infinite pages.  Each stack reduces the cost of Bash by <<1>>.  1 Stack: <<2>> 2 Stacks: <<3>> 3 Stacks: <<4>>  Current Bonus: <<5>>,<<1>> = 15% (Constant) <<2>> = Minor Protection (Constant) <<3>> = Minor Resolve (Constant) <<4>> = Minor Toughness (Constant) <<5>> = 0% (Constant)
Apocryphal Inspiration,187854,Magicka,,,Apocryphal Inspiration,1,"You and group members within 28 meters of you gain Major Fortitude, Major Intellect, and Major Endurance, increasing your Health Recovery, Magicka Recovery, and Stamina Recovery by <<1>>.",<<1>> = 30% (Constant)
Arac's Sacrifice,253051,Magicka,,,,5,"A child of Arac follows you into battle.  The spider trails behind you, losing health whenever you're in combat. When it dies, you can step on its corpse and blast your enemies with <<1>> within <<2>>. Honoring the little spider's sacrifice.  Its corpse is nothing more than a poison mound that lasts for <<3>> dealing <<4>> every <<5>>.  Effects are only active within the bounds of the Night Market.",<<1>> = 60000 Poison Damage (Constant) <<2>> = 30 meters (Constant) <<3>> = 30 seconds (Constant) <<4>> = 8500 Poison Damage (Constant) <<5>> = 1 second (Constant)
Arac's Sacrifice,261762,Magicka,,,,1,You remember how to walk down shadowy paths.  A void portal can be summoned every <<1>>. Using this portal transports you to a location away from your enemies allowing you to escape or adjust your positioning farther from your attackers.  Void Escape only takes effect within the bounds of the Night Market.,<<1>> = 15 seconds (Constant)
Arc Lightning,113187,Adrenaline,,,,3,,"<<1>> = 0.09 MaxStat + 0.945 MaxPower  (Ultimate, ratio = 10.50, Dmg, Shock, AOE, Direct, R2 = 1) <<2>> = 1 second (Constant) <<3>> = AB_DERIVED_VALUE (Constant)"
Arcane Conveyance,223031,Werewolf,,,,4,"Violently drain the last spark of life from a corpse, dealing <<1>> over <<2>> to all enemies around the corpse and between you and the corpse.   If the siphon lasts its full duration it causes the corpse to explode, dealing an additional <<3>> to all enemies around the corpse. This ability scales off your highest offensive stats.  While slotted, your damage done is increased by <<4>>.","<<1>> = 0.009182 MaxStat + 0.096413 MaxPower  (Ultimate, ratio = 10.50, Dmg, Disease, AOE, DOT, 19.333s duration, 0.666s tick, R2 = 1) <<2>> = 20 seconds (Constant) <<3>> = 0.077475 MaxStat + 0.813488 MaxPower  (Ultimate, ratio = 10.50, Dmg, Disease, AOE, Direct, Melee, R2 = 1) <<4>> = 3% (Constant)"
Arcane Nova,157230,Werewolf,,,,5,"<<1>> releases a surge of magic to enemies around them, dealing <<2>> Magic Damage.  Fire Nova applies the Burning status effect for <<3>>.  Frost Nova applies the Chill status effect for <<4>>.  Shock Nova applies the Concussion status effect for <<5>>.","<<1>> = Your Companion (Constant) <<2>> = + 3 WD  (Stamina, Dmg, Flame, AOE, Direct, Melee, 0.3s cooldown, R2 = 1) <<3>> = 4 seconds (Constant) <<4>> = 4 seconds (Constant) <<5>> = 4 seconds (Constant)"
Arcane Wards,165281,Adrenaline,,,,4,"<<1>> casts defensive wards on themselves and 3 allies for <<2>>. Those with wards reduce their damage taken by <<3>>. When a warded ally takes direct melee damage, their ward deals <<4>> to their attacker.",<<1>> = Your Companion (Constant) <<2>> = 12 seconds (Constant) <<3>> = 5% (Constant) <<4>> = 500 Shock Damage (Constant)
Arcane Well,63111,Werewolf,,,,1,"When you kill an enemy, you have a 20% chance to restore <<1>> Magicka for up to 3 friendly targets within 2.5 meters of the enemy.","<<1>> = 0.099986 Magicka - 0.0001685 SD + 0.286898  (Magicka, SingleTarget, Direct, 2s duration, R2 = 0.999998)"
Arcanist,59577,Werewolf,,,,1,Increases your Magicka Recovery by <<1>>.,<<1>> = 0% (Constant)
Arcanist's Domain 1,183555,Werewolf,Arcanist,Curative Runeforms,,6,"Draw forth your tome and invoke the vigoratum of Hermaeus Mora to conjure a vortex of eldritch power. Entering this vortex grants you and your allies <<1>>, <<2>>, <<3>>, and <<4>>, increasing your Weapon and Spell Damage by <<5>> and your Health, Magicka, and Stamina Recovery by <<6>>.",<<1>> = Minor Courage (Constant) <<2>> = Minor Fortitude (Constant) <<3>> = Minor Intellect (Constant) <<4>> = Minor Endurance (Constant) <<5>> = 215 (Constant) <<6>> = 15% (Constant)
Arcanist's Domain 2,20183555,Werewolf,Arcanist,Curative Runeforms,,6,"Draw forth your tome and invoke the vigoratum of Hermaeus Mora to conjure a vortex of eldritch power. Entering this vortex grants you and your allies <<1>>, <<2>>, <<3>>, and <<4>>, increasing your Weapon and Spell Damage by <<5>> and your Health, Magicka, and Stamina Recovery by <<6>>.",<<1>> = Minor Courage (Constant) <<2>> = Minor Fortitude (Constant) <<3>> = Minor Intellect (Constant) <<4>> = Minor Endurance (Constant) <<5>> = 215 (Constant) <<6>> = 15% (Constant)
Arcanist's Domain 3,30183555,Werewolf,Arcanist,Curative Runeforms,,6,"Draw forth your tome and invoke the vigoratum of Hermaeus Mora to conjure a vortex of eldritch power. Entering this vortex grants you and your allies <<1>>, <<2>>, <<3>>, and <<4>>, increasing your Weapon and Spell Damage by <<5>> and your Health, Magicka, and Stamina Recovery by <<6>>.",<<1>> = Minor Courage (Constant) <<2>> = Minor Fortitude (Constant) <<3>> = Minor Intellect (Constant) <<4>> = Minor Endurance (Constant) <<5>> = 215 (Constant) <<6>> = 15% (Constant)
Arcanist's Domain 4,40183555,Werewolf,Arcanist,Curative Runeforms,,6,"Draw forth your tome and invoke the vigoratum of Hermaeus Mora to conjure a vortex of eldritch power. Entering this vortex grants you and your allies <<1>>, <<2>>, <<3>>, and <<4>>, increasing your Weapon and Spell Damage by <<5>> and your Health, Magicka, and Stamina Recovery by <<6>>.",<<1>> = Minor Courage (Constant) <<2>> = Minor Fortitude (Constant) <<3>> = Minor Intellect (Constant) <<4>> = Minor Endurance (Constant) <<5>> = 215 (Constant) <<6>> = 15% (Constant)
Archdruid Devyric,176812,Magicka,,,Archdruid Devyric,6,"When you deal damage with a Heavy Attack, after <<1>> deal <<2>> to up to 6 enemies within a 7 by 5 meter line on your target, applying <<3>> to them for <<4>>, increasing the damage enemies take by <<5>>. This effect can occur once every <<6>> and scales off the higher of your Weapon or Spell Damage.","<<1>> = 1.2 seconds (Constant) <<2>> = -1.84E-5 MaxStat + 0.650864 MaxPower - 0.664292  (Ultimate, ratio = -35373.04, Dmg, Shock, AOE, Direct, Melee, R2 = 1) <<3>> = Major Vulnerability (Constant) <<4>> = 7 seconds (Constant) <<5>> = 10% (Constant) <<6>> = 15 seconds (Constant)"
Archer's Mind,57167,Werewolf,,,,1,Archer's Mind Attacking from Stealth increases Critical Damage by <<1>>.,<<1>> = 8% (Constant)
Archer's Mind,29103,Werewolf,,,Archer's Mind,2,Increases your Critical Damage and Healing by <<1>>. Increases your Critical Damage and Healing by an additional <<2>> when you are Sneaking or Invisible.,<<1>> = 8% (Constant) <<2>> = 16% (Constant)
Archival Assault,200018,Magicka,,,,1,Cut your enemies down quicker!  Your Assault Skills have their damage increased by <<1>>.,<<1>> = 100% (Constant)
Archival Endurance,201407,Magicka,,,,2,Your stamina recovery rate grows.  Stamina Recovery increased by <<1>> per stack.  Current Bonus: <<2>>,<<1>> = 25% (Constant) <<2>> = 0% (Constant)
Archival Evasion,194166,Magicka,,,,1,Large-scale attacks just don't hurt as much as they used to.  Damage taken from Area Effects is reduced by <<1>>.,<<1>> = 25% (Constant)
Archival Intelligence,201400,Magicka,,,,2,Your magic recovery rate grows.  Magicka Recovery increased by <<1>> per stack.  Current Bonus: <<2>>,<<1>> = 25% (Constant) <<2>> = 0% (Constant)
Archival Weaponry,192992,Magicka,,,,1,Strengthen your connection to the weapons you wield.  Increases Damage Done of your Active Weapon Skills by <<1>>. This bonus increases for each Weapon ability slotted.,<<1>> = 100% (Constant)
Archival Worldliness,200015,Magicka,,,,1,Hone your world skills and turn your prowess against the enemies!  Increases Damage Done of your Active World Skills by <<1>>.,<<1>> = 100% (Constant)
Arctic Blast 1,86156,Werewolf,Warden,Winter's Embrace,,6,"Envelop yourself in winter winds, instantly dealing <<1>> to nearby enemies. If no enemies are hit, you heal for <<2>> Health.  The winds persist for <<3>> and chill your foes to the bone, dealing <<4>> every <<5>>, after <<5>>. The damage has a higher chance to apply the Chilled status effect.  Stuns enemies after the delay for <<6>>.","<<1>> = 0.077475 MaxStat + 0.813488 MaxPower  (Ultimate, ratio = 10.50, RankMod(1), Dmg, Frost, AOE, Direct, Melee, R2 = 1) <<2>> = 0.103275 MaxStat + 1.0848 MaxPower - 0.929322  (Ultimate, ratio = 10.50, Heal, SingleTarget, Direct, R2 = 1) <<3>> = 20 seconds (Constant) <<4>> = 0.012912 MaxStat + 0.135581 MaxPower  (Ultimate, ratio = 10.50, RankMod(1), Dmg, Frost, AOE, DOT, 2s tick, R2 = 1) <<5>> = 2 seconds (Constant) <<6>> = 3 seconds (Constant)"
Arctic Blast 2,86157,Werewolf,Warden,Winter's Embrace,,6,"Envelop yourself in winter winds, instantly dealing <<1>> to nearby enemies. If no enemies are hit, you heal for <<2>> Health.  The winds persist for <<3>> and chill your foes to the bone, dealing <<4>> every <<5>>, after <<5>>. The damage has a higher chance to apply the Chilled status effect.  Stuns enemies after the delay for <<6>>.","<<1>> = 0.078327225 MaxStat + 0.822436368 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.011), Dmg, Frost, AOE, Direct, Melee, R2 = 1) <<2>> = 0.103275 MaxStat + 1.0848 MaxPower - 0.929322  (Ultimate, ratio = 10.50, Heal, SingleTarget, Direct, R2 = 1) <<3>> = 20 seconds (Constant) <<4>> = 0.013054032 MaxStat + 0.137072391 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.011), Dmg, Frost, AOE, DOT, 2s tick, R2 = 1) <<5>> = 2 seconds (Constant) <<6>> = 3 seconds (Constant)"
Arctic Blast 3,86158,Werewolf,Warden,Winter's Embrace,,6,"Envelop yourself in winter winds, instantly dealing <<1>> to nearby enemies. If no enemies are hit, you heal for <<2>> Health.  The winds persist for <<3>> and chill your foes to the bone, dealing <<4>> every <<5>>, after <<5>>. The damage has a higher chance to apply the Chilled status effect.  Stuns enemies after the delay for <<6>>.","<<1>> = 0.07917945 MaxStat + 0.831384736 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.022), Dmg, Frost, AOE, Direct, Melee, R2 = 1) <<2>> = 0.103275 MaxStat + 1.0848 MaxPower - 0.929322  (Ultimate, ratio = 10.50, Heal, SingleTarget, Direct, R2 = 1) <<3>> = 20 seconds (Constant) <<4>> = 0.013196064 MaxStat + 0.138563782 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.022), Dmg, Frost, AOE, DOT, 2s tick, R2 = 1) <<5>> = 2 seconds (Constant) <<6>> = 3 seconds (Constant)"
Arctic Blast 4,86159,Werewolf,Warden,Winter's Embrace,,6,"Envelop yourself in winter winds, instantly dealing <<1>> to nearby enemies. If no enemies are hit, you heal for <<2>> Health.  The winds persist for <<3>> and chill your foes to the bone, dealing <<4>> every <<5>>, after <<5>>. The damage has a higher chance to apply the Chilled status effect.  Stuns enemies after the delay for <<6>>.","<<1>> = 0.080031675 MaxStat + 0.840333104 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.033), Dmg, Frost, AOE, Direct, Melee, R2 = 1) <<2>> = 0.103275 MaxStat + 1.0848 MaxPower - 0.929322  (Ultimate, ratio = 10.50, Heal, SingleTarget, Direct, R2 = 1) <<3>> = 20 seconds (Constant) <<4>> = 0.013338096 MaxStat + 0.140055173 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.033), Dmg, Frost, AOE, DOT, 2s tick, R2 = 1) <<5>> = 2 seconds (Constant) <<6>> = 3 seconds (Constant)"
Arctic Focus,12153,Werewolf,,,,1,,<<1>> = 5% (Constant)
Arctic Wind 1,86148,Werewolf,Warden,Winter's Embrace,,4,"Envelop yourself in winter winds, instantly healing for <<1>> Health and an additional <<2>> Health every <<3>> over <<4>>. This ability scales off your Max Health.","<<1>> = 0.3 Health  (Health, RankMod(1), Heal, SingleTarget, Direct, R2 = 1) <<2>> = 0.06 Health  (Health, RankMod(1), Heal, SingleTarget, DOT, 8s duration, 2s tick, R2 = 1) <<3>> = 2 seconds (Constant) <<4>> = 10 seconds (Constant)"
Arctic Wind 2,86149,Werewolf,Warden,Winter's Embrace,,4,"Envelop yourself in winter winds, instantly healing for <<1>> Health and an additional <<2>> Health every <<3>> over <<4>>. This ability scales off your Max Health.","<<1>> = 0.3033 Health  (Health, RankMod(1.011), Heal, SingleTarget, Direct, R2 = 1) <<2>> = 0.06066 Health  (Health, RankMod(1.011), Heal, SingleTarget, DOT, 8s duration, 2s tick, R2 = 1) <<3>> = 2 seconds (Constant) <<4>> = 10 seconds (Constant)"
Arctic Wind 3,86150,Werewolf,Warden,Winter's Embrace,,4,"Envelop yourself in winter winds, instantly healing for <<1>> Health and an additional <<2>> Health every <<3>> over <<4>>. This ability scales off your Max Health.","<<1>> = 0.3066 Health  (Health, RankMod(1.022), Heal, SingleTarget, Direct, R2 = 1) <<2>> = 0.06132 Health  (Health, RankMod(1.022), Heal, SingleTarget, DOT, 8s duration, 2s tick, R2 = 1) <<3>> = 2 seconds (Constant) <<4>> = 10 seconds (Constant)"
Arctic Wind 4,86151,Werewolf,Warden,Winter's Embrace,,4,"Envelop yourself in winter winds, instantly healing for <<1>> Health and an additional <<2>> Health every <<3>> over <<4>>. This ability scales off your Max Health.","<<1>> = 0.3099 Health  (Health, RankMod(1.033), Heal, SingleTarget, Direct, R2 = 1) <<2>> = 0.06198 Health  (Health, RankMod(1.033), Heal, SingleTarget, DOT, 8s duration, 2s tick, R2 = 1) <<3>> = 2 seconds (Constant) <<4>> = 10 seconds (Constant)"
Argonian Resistance 1,36583,Werewolf,Argonian,Argonian Skills,,2,Increases your Max Health by <<1>> and your Disease and Poison Resistance by <<2>>.,<<1>> = 333 (Constant) <<2>> = 660 (Constant)
Argonian Resistance 2,45253,Werewolf,Argonian,Argonian Skills,,2,Increases your Max Health by <<1>> and your Disease and Poison Resistance by <<2>>.,<<1>> = 666 (Constant) <<2>> = 1320 (Constant)
Argonian Resistance 3,45255,Werewolf,Argonian,Argonian Skills,,2,Increases your Max Health by <<1>> and your Disease and Poison Resistance by <<2>>.,<<1>> = 1000 (Constant) <<2>> = 2310 (Constant)
Arkasis's Genius,142654,Werewolf,,,Arkasis's Genius,2,"Whenever you drink a potion while in combat, you and 3 group members gain <<1>> Ultimate. This effect can occur once every <<2>>.",<<1>> = 0 (Constant) <<2>> = 30 seconds (Constant)
Arkay's Charity,234294,Magicka,,,Arkay's Charity,2,"When you cleanse a negative effect from yourself or an ally, restore <<1>> Ultimate to the target. This effect can occur once every <<2>> per target.",<<1>> = 13 (Constant) <<2>> = 9 seconds (Constant)
Arm Wabbajack,26598,Werewolf,,,,1,,<<1>> = 0 seconds (Constant)
Armor Master,61851,Werewolf,,,Armor Master,3,"While you have an Armor ability slotted, your Max Health is increased by <<1>>. When you use an Armor ability while in combat, your Physical and Spell Resistance is increased by <<2>> for <<3>>.",<<1>> = 5% (Constant) <<2>> = 0 (Constant) <<3>> = 10 seconds (Constant)
Armor of Truth,32818,Werewolf,,,Armor of Truth,2,"When you deal damage to an enemy who is Off Balance, your Weapon and Spell Damage are increased by <<1>> for <<2>>.",<<1>> = 0 (Constant) <<2>> = 10 seconds (Constant)
Armor of the Code,71073,Werewolf,,,Armor of the Code,1,Increase your Critical Chance against targets with a lower % of health than you by <<1>>.,<<1>> = 0 (Constant)
Armor of the Seducer,29119,Werewolf,,,Armor of the Seducer,1,Reduces the cost of your Magicka abilities by <<1>>%.,<<1>> = 10 (Constant)
Armor of the Veiled Heritance,29118,Werewolf,,,Armor of the Veiled Heritance,3,"When you interrupt an enemy, you gain <<1>> Weapon and Spell Damage for <<2>>. Your Bash attacks deal <<3>> more damage.",<<1>> = 0 (Constant) <<2>> = 15 seconds (Constant) <<3>> = 0 (Constant)
Armor of the Veiled Heritance,141769,Werewolf,,,,1,Adds <<1>> damage to your Bash attacks.,<<1>> = 0 (Constant)
Armor of the Veiled HeritanceOLD,127272,Werewolf,,,,2,"When you deal damage, you have a 10% chance to increase your Weapon Damage by <<1>> for <<2>>.",<<1>> = AB_DERIVED_VALUE_ABSOLUTE (Constant) <<2>> = AB_DURATION (Constant)
Armored Shell,197694,Magicka,,,,2,Protective energies gather around you!  Damage taken by damage over time attacks reduced by <<1>> per stack.  Current Bonus: <<2>>,<<1>> = 2% (Constant) <<2>> = 0% (Constant)
Arms of Relequen,107202,Werewolf,,,Arms of Relequen,6,"Your Light and Heavy attacks apply a stack of harmful winds to your target for <<1>>, reduced to <<2>> against players. Harmful winds deal <<3>> per stack every <<4>>. This effect can stack once every <<5>>, up to <<6>> times, and scales off the higher of your Weapon or Spell Damage.","<<1>> = 5 seconds (Constant) <<2>> = 1 second (Constant) <<3>> = + 0.051551 MaxPower  (Ultimate, Dmg, Physical, SingleTarget, Direct, 5.1s duration, R2 = 1) <<4>> = 1 second (Constant) <<5>> = 0.5 seconds (Constant) <<6>> = 10 (Constant)"
Arms of Relequen,109085,Werewolf,,,,3,"Your Light and Heavy attacks apply a stack of harmful winds to your target for <<1>>. Harmful winds deal <<2>> every <<3>>. This effect can stack once every half second, up to 10 times and scales off the higher of your Weapon or Spell Damage.","<<1>> = 5 seconds (Constant) <<2>> = + 0.052354 MaxPower  (Ultimate, Dmg, Physical, SingleTarget, DOT, 5s duration, 1s tick, R2 = 1) <<3>> = 1 second (Constant)"
Arrow Barrage,148581,Werewolf,,,,3,"Launch a multitude of arrows into the sky to rain down, dealing <<1>> to enemies in the target area every <<2>> for <<3>>, after a 2 second delay.","<<1>> = 0.0199027 MaxStat + 0.209174 MaxPower - 1.79703  (Ultimate, ratio = 10.51, Dmg, Physical, AOE, DOT, 1s tick, R2 = 0.999994) <<2>> = 1 second (Constant) <<3>> = 8 seconds (Constant)"
Arrow Barrage 1,38695,Power,Weapon,Bow,,3,"Launch a multitude of arrows into the sky to rain down, dealing <<1>> to enemies in the target area every <<2>> for <<3>>, after a 2 second delay.","<<1>> = 0.0199027 MaxStat + 0.209174 MaxPower - 1.79703  (Ultimate, ratio = 10.51, Dmg, Physical, AOE, DOT, 1s tick, R2 = 0.999994) <<2>> = 1 second (Constant) <<3>> = 8 seconds (Constant)"
Arrow Barrage 2,40938,Power,Weapon,Bow,,3,"Launch a multitude of arrows into the sky to rain down, dealing <<1>> to enemies in the target area every <<2>> for <<3>>, after a 2 second delay.","<<1>> = 0.0201207 MaxStat + 0.211755 MaxPower - 3.04266  (Ultimate, ratio = 10.52, Dmg, Physical, AOE, DOT, 1s tick, R2 = 0.999994) <<2>> = 1 second (Constant) <<3>> = 8 seconds (Constant)"
Arrow Barrage 3,40941,Power,Weapon,Bow,,3,"Launch a multitude of arrows into the sky to rain down, dealing <<1>> to enemies in the target area every <<2>> for <<3>>, after a 2 second delay.","<<1>> = 0.0203327 MaxStat + 0.213943 MaxPower - 2.74888  (Ultimate, ratio = 10.52, Dmg, Physical, AOE, DOT, 1s tick, R2 = 0.99999) <<2>> = 1 second (Constant) <<3>> = 8 seconds (Constant)"
Arrow Barrage 4,40944,Power,Weapon,Bow,,3,"Launch a multitude of arrows into the sky to rain down, dealing <<1>> to enemies in the target area every <<2>> for <<3>>, after a 2 second delay.","<<1>> = 0.0205112 MaxStat + 0.216249 MaxPower - 2.18447  (Ultimate, ratio = 10.54, Dmg, Physical, AOE, DOT, 1s tick, R2 = 0.999996) <<2>> = 1 second (Constant) <<3>> = 8 seconds (Constant)"
Arrow Spray,194086,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,38722,Power,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,78779,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,101695,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,107677,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,71988,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,215867,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,235113,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,59260,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,148318,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,129341,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,163696,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray,70700,Werewolf,,,,3,,<<1>> = 0 Generic Damage (Constant) <<2>> = 50% (Constant) <<3>> = 5 seconds (Constant)
Arrow Spray 1,31271,Power,Weapon,Bow,,1,"Fire a burst of arrows in one shot, dealing <<1>> to enemies in front of you.","<<1>> = 0.075 MaxStat + 0.7875 MaxPower  (Ultimate, ratio = 10.50, RankMod(1), Dmg, Physical, AOE, Direct, R2 = 1)"
Arrow Spray 2,40759,Power,Weapon,Bow,,1,"Fire a burst of arrows in one shot, dealing <<1>> to enemies in front of you.","<<1>> = 0.075825 MaxStat + 0.7961625 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.011), Dmg, Physical, AOE, Direct, R2 = 1)"
Arrow Spray 3,40762,Power,Weapon,Bow,,1,"Fire a burst of arrows in one shot, dealing <<1>> to enemies in front of you.","<<1>> = 0.07665 MaxStat + 0.804825 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.022), Dmg, Physical, AOE, Direct, R2 = 1)"
