seq,source,tier,title,words,pdf,url
165,zos,combat-news,The Elder Scrolls Online: Gold Road & Update 42 Now Live on All Platforms,1443,165_zos_The_Elder_Scrolls_Online_Gold_Road_Update_42_Now_Live_on_All.pdf,https://www.elderscrollsonline.com/en-us/news/post/66077
166,zos,combat-news,The Elder Scrolls Online: Necrom & Update 38 Now Live on All Platforms,1472,166_zos_The_Elder_Scrolls_Online_Necrom_Update_38_Now_Live_on_All_Pl.pdf,https://www.elderscrollsonline.com/en-us/news/post/64219
167,zos,combat-news,The First Changes of Update 49 and Season Zero Are Now Live on the Public Test Server,276,167_zos_The_First_Changes_of_Update_49_and_Season_Zero_Are_Now_Live_.pdf,https://www.elderscrollsonline.com/en-us/news/post/69229
168,zos,combat-news,The Vengeance Campaign Returns with Newly Revamped Skill Lines and Golden Pursuits!,593,168_zos_The_Vengeance_Campaign_Returns_with_Newly_Revamped_Skill_Lin.pdf,https://www.elderscrollsonline.com/en-us/news/post/68369
169,zos,combat-news,To Arms! Help Us Collect Vital Data by Battling Your Fellow Players in Cyrodiil,510,169_zos_To_Arms_Help_Us_Collect_Vital_Data_by_Battling_Your_Fellow_P.pdf,https://www.elderscrollsonline.com/en-us/news/post/67731
170,zos,combat-news,Unlock the Scribing System for Free & Craft Custom Skills,349,170_zos_Unlock_the_Scribing_System_for_Free_Craft_Custom_Skills.pdf,https://www.elderscrollsonline.com/en-us/news/post/68421
171,zos,combat-news,Update 35 Preview—Combat Changes,1524,171_zos_Update_35_Preview_Combat_Changes.pdf,https://www.elderscrollsonline.com/en-us/news/post/62493
172,zos,combat-news,"Update 37 Preview—Screen Narration, Hide Shoulders, & More",778,172_zos_Update_37_Preview_Screen_Narration_Hide_Shoulders_More.pdf,https://www.elderscrollsonline.com/en-us/news/post/63725
173,zos,combat-news,Update 39 Base-Game Patch Now Live on PC/Mac,782,173_zos_Update_39_Base-Game_Patch_Now_Live_on_PC_Mac.pdf,https://www.elderscrollsonline.com/en-us/news/post/64551
174,zos,combat-news,Update 39 Now Available on the PC/Mac Public Test Server!,217,174_zos_Update_39_Now_Available_on_the_PC_Mac_Public_Test_Server.pdf,https://www.elderscrollsonline.com/en-us/news/post/64401
175,zos,combat-news,Update 39 Preview—Base Game Improvements and Additions,992,175_zos_Update_39_Preview_Base_Game_Improvements_and_Additions.pdf,https://www.elderscrollsonline.com/en-us/news/post/64407
176,zos,combat-news,Update 40 Brings All-New Improvements to Tamriel’s Adventurers,593,176_zos_Update_40_Brings_All-New_Improvements_to_Tamriel_s_Adventure.pdf,https://www.elderscrollsonline.com/en-us/news/post/64689
177,zos,combat-news,Update 43 Base-Game Patch Now Live on All Platforms,517,177_zos_Update_43_Base-Game_Patch_Now_Live_on_All_Platforms.pdf,https://www.elderscrollsonline.com/en-us/news/post/66487
178,zos,combat-news,Update 43 Is Now Available on the PC/Mac Public Test Server,176,178_zos_Update_43_Is_Now_Available_on_the_PC_Mac_Public_Test_Server.pdf,https://www.elderscrollsonline.com/en-us/news/post/66365
179,zos,combat-news,Update 43 Preview—Home Tours,889,179_zos_Update_43_Preview_Home_Tours.pdf,https://www.elderscrollsonline.com/en-us/news/post/66495
180,zos,combat-news,Update 43 Preview—Infinite Archive Updates,878,180_zos_Update_43_Preview_Infinite_Archive_Updates.pdf,https://www.elderscrollsonline.com/en-us/news/post/66519
181,zos,combat-news,Update 43 Preview—Tour ESO’s Upcoming Base-Game Features & Improvements,791,181_zos_Update_43_Preview_Tour_ESO_s_Upcoming_Base-Game_Features_Imp.pdf,https://www.elderscrollsonline.com/en-us/news/post/66331
182,zos,combat-news,Update 44 Base-Game Patch Now Live on All Platforms,1057,182_zos_Update_44_Base-Game_Patch_Now_Live_on_All_Platforms.pdf,https://www.elderscrollsonline.com/en-us/news/post/66869
183,zos,combat-news,Update 44 Now Live on the Public Test Server!,169,183_zos_Update_44_Now_Live_on_the_Public_Test_Server.pdf,https://www.elderscrollsonline.com/en-us/news/post/66721
184,zos,combat-news,Update 44 Preview—Battlegrounds Updates,1146,184_zos_Update_44_Preview_Battlegrounds_Updates.pdf,https://www.elderscrollsonline.com/en-us/news/post/66847
185,zos,combat-news,"Update 44 Preview—Battlegrounds, New Companions, & More!",1303,185_zos_Update_44_Preview_Battlegrounds_New_Companions_More.pdf,https://www.elderscrollsonline.com/en-us/news/post/66701
186,zos,combat-news,Update 44 Preview—Golden Pursuits,699,186_zos_Update_44_Preview_Golden_Pursuits.pdf,https://www.elderscrollsonline.com/en-us/news/post/66867
187,zos,combat-news,Update 44 Preview—New Companions,983,187_zos_Update_44_Preview_New_Companions.pdf,https://www.elderscrollsonline.com/en-us/news/post/66831
188,zos,combat-news,Update 44 Preview—Scribing and Skill Styles Update,937,188_zos_Update_44_Preview_Scribing_and_Skill_Styles_Update.pdf,https://www.elderscrollsonline.com/en-us/news/post/66875
189,zos,combat-news,Update 45 Preview—Base Game Improvements,962,189_zos_Update_45_Preview_Base_Game_Improvements.pdf,https://www.elderscrollsonline.com/en-us/news/post/67601
190,zos,combat-news,Update 45 Preview—Fallen Banners,847,190_zos_Update_45_Preview_Fallen_Banners.pdf,https://www.elderscrollsonline.com/en-us/news/post/67411
191,zos,combat-news,Update 47 Preview—Base Game Improvements,876,191_zos_Update_47_Preview_Base_Game_Improvements.pdf,https://www.elderscrollsonline.com/en-us/news/post/68585
192,zos,combat-news,Update 47 Preview—Feast on a New Dungeon Pack & More,544,192_zos_Update_47_Preview_Feast_on_a_New_Dungeon_Pack_More.pdf,https://www.elderscrollsonline.com/en-us/news/post/68403
193,zos,combat-news,Update 47 and Feast of Shadows Are Now Available on the Public Test Server,199,193_zos_Update_47_and_Feast_of_Shadows_Are_Now_Available_on_the_Publ.pdf,https://www.elderscrollsonline.com/en-us/news/post/68409
194,zos,combat-news,Update 49 Base-Game Patch Now Live on All Platforms,1438,194_zos_Update_49_Base-Game_Patch_Now_Live_on_All_Platforms.pdf,https://www.elderscrollsonline.com/en-us/news/post/69503
195,zos,combat-news,Update 50 Base-Game Patch Now Live on All Platforms,1008,195_zos_Update_50_Base-Game_Patch_Now_Live_on_All_Platforms.pdf,https://www.elderscrollsonline.com/en-us/news/post/69965
196,zos,combat-news,Update 50 is Now Available on the Public Test Server,281,196_zos_Update_50_is_Now_Available_on_the_Public_Test_Server.pdf,https://www.elderscrollsonline.com/en-us/news/post/69713
197,zos,combat-news,Vengeance Returns Full-Time with Update 50!,367,197_zos_Vengeance_Returns_Full-Time_with_Update_50.pdf,https://www.elderscrollsonline.com/en-us/news/post/69939
198,zos,combat-news,"Watch Streamers, Developers, and Special Guests Clash during the ESO Battlegrounds Brawl!",504,198_zos_Watch_Streamers_Developers_and_Special_Guests_Clash_during_t.pdf,https://www.elderscrollsonline.com/en-us/news/post/67199
199,zos,combat-news,Watch the #ESOFam (Literally) Set Sail in Germany,177,199_zos_Watch_the_ESOFam_Literally_Set_Sail_in_Germany.pdf,https://www.elderscrollsonline.com/en-us/news/post/62471
200,zos,deep-dive,Developer Deep Dive—ESO's Class Identity Refresh,2109,200_zos_Developer_Deep_Dive_ESO_s_Class_Identity_Refresh.pdf,https://www.elderscrollsonline.com/en-us/news/post/69039
201,zos,deep-dive,Developer Deep Dive—Item Sets Part 2,1936,201_zos_Developer_Deep_Dive_Item_Sets_Part_2.pdf,https://www.elderscrollsonline.com/en-us/news/post/66841
202,zos,deep-dive,Developer Deep Dive—Season Zero’s Challenge Difficulty,901,202_zos_Developer_Deep_Dive_Season_Zero_s_Challenge_Difficulty.pdf,https://www.elderscrollsonline.com/en-us/news/post/69313
203,zos,deep-dive,Developer Deep Dive—Update 49’s Ability Refreshes,1589,203_zos_Developer_Deep_Dive_Update_49_s_Ability_Refreshes.pdf,https://www.elderscrollsonline.com/en-us/news/post/69465
204,zos,deep-dive,ESO Deep Dive—Creating the Housing System’s Furnishings,2160,204_zos_ESO_Deep_Dive_Creating_the_Housing_System_s_Furnishings.pdf,https://www.elderscrollsonline.com/en-us/news/post/62789
205,zos,deep-dive,ESO Developer Deep Dive–Giving Tamriel’s Characters Their Voice,2266,205_zos_ESO_Developer_Deep_Dive_Giving_Tamriel_s_Characters_Their_Vo.pdf,https://www.elderscrollsonline.com/en-us/news/post/64149
206,zos,deep-dive,ESO Developer Deep Dive—Combat Core Values,918,206_zos_ESO_Developer_Deep_Dive_Combat_Core_Values.pdf,https://www.elderscrollsonline.com/en-us/news/post/63417
207,zos,deep-dive,"ESO Developer Deep Dive—Item Sets, Part 1",2139,207_zos_ESO_Developer_Deep_Dive_Item_Sets_Part_1.pdf,https://www.elderscrollsonline.com/en-us/news/post/66547
208,zos,deep-dive,ESO Developer Deep Dive—Lore Books,2283,208_zos_ESO_Developer_Deep_Dive_Lore_Books.pdf,https://www.elderscrollsonline.com/en-us/news/post/63175
209,zos,deep-dive,Ready Your Expedition into Western Solstice with this Deep Dive,902,209_zos_Ready_Your_Expedition_into_Western_Solstice_with_this_Deep_D.pdf,https://www.elderscrollsonline.com/en-us/news/post/68105
210,zos,guide,Guide to ESO Plus Membership,1968,210_zos_Guide_to_ESO_Plus_Membership.pdf,https://www.elderscrollsonline.com/en-us/guides/esoplusguide
211,zos,guide,Guide to Master Writs,1272,211_zos_Guide_to_Master_Writs.pdf,https://www.elderscrollsonline.com/en-us/guides/masterwrits
212,zos,guide,Guide to Subclassing,948,212_zos_Guide_to_Subclassing.pdf,https://www.elderscrollsonline.com/en-us/guides/subclassing
213,zos,guide,Hero’s Return Guide,802,213_zos_Hero_s_Return_Guide.pdf,https://www.elderscrollsonline.com/en-us/guides/herosreturn
214,zos,guide,Imperial City Guide,2083,214_zos_Imperial_City_Guide.pdf,https://www.elderscrollsonline.com/en-us/guides/imperialcity
215,zos,guide,Outfit System: Basics Guide,1664,215_zos_Outfit_System_Basics_Guide.pdf,https://www.elderscrollsonline.com/en-us/guides/outfitbasics
216,zos,guide,Tamriel Tomes Guide,1364,216_zos_Tamriel_Tomes_Guide.pdf,https://www.elderscrollsonline.com/en-us/guides/tamrieltomes
217,zos,new-player-guide,New Player Guide: Group PvE Challenges,1456,217_zos_New_Player_Guide_Group_PvE_Challenges.pdf,https://www.elderscrollsonline.com/en-us/newplayerguide/pvegroup
218,zos,new-player-guide,New Player Guide: Inventory & Items,1471,218_zos_New_Player_Guide_Inventory_Items.pdf,https://www.elderscrollsonline.com/en-us/newplayerguide/inventory
219,zos,new-player-guide,New Player Guide: Player vs Player Challenges,1641,219_zos_New_Player_Guide_Player_vs_Player_Challenges.pdf,https://www.elderscrollsonline.com/en-us/newplayerguide/pvp
