page,bonus_1,bonus_2,bonus_3,bonus_4,bonus_5,bonus_6,bonus_7,bonus_8,bonus_9,bonus_10,bonus_11,bonus_12,Trail.1,Online Update.type,ESO Sets With.1,ESO Sets With.3,ESO Sets With.2,ESO Sets With.4,ESO Sets With.5,ESO Sets With.settype,ESO Sets With.6,ESO Sets With.source,ESO Sets With.7,ESO Sets With.8,ESO Sets With.9,ESO Sets With.10,ESO Sets With.11,Mod Header.1,ESO Sets With.dlc,ESO Sets With.12,ESO Weapon Damage Link.3,ESO Health Link.1,ESO Sets With.13,ESO Stamina Link.1,ESO Magicka Link.1,Item Link.quality,ESO Sets With.14,Item Link.id,Item Link.summary,Item Link.1,about.1,about.2,about.3,ESO Magicka Link.2,ESO Stamina Link.2,ESO Sets With.15,Place Link.1,ESO Sets With.dungeon,ESO Sets With.chest,ESO Sets With.boss,Item Link.2,icon.1,icon.2,ESO Quality Color.1,ESO Quality Color.2,ESO Ultimate Link.1,icon.al
Online:Defiler,,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 15-657 Critical Chance,"When you deal Critical Damage, you summon a Hunger that spews poison to all enemies in front of it, dealing 990 Poison Damage and stunning any enemy hit for 5 seconds. This effect can occur once every 5 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Weapon/Spell Critical,Double Weapon/Spell Critical,Critical Damage Bonus,Medium Armor,Summon,Vvardenfell,Area of Effect,Poison Damage,Crowd Control,5-Piece Bonus,Medium Armor,Morrowind,Morrowind,Any Weapon,y,,Jewelry,,,4,Hlaalu Style,126069,1,Andule's Cuirass of the Defiler,,,,,,,,,,,,,,,,,
Online:Deprecated Item Sets,,,,,,,,,,,,,Items/Sets,,,,,,,,,,,,,,,,,,,,,,,4,,59939,1,Dominion's Choker,,,,,,,,,,,,,,,,,
Online:Desert Rose,,Adds 34-1487 Armor,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Magicka,"When you take damage, you have a 25% chance to restore 46-2012 Magicka. This effect can occur once every 4 seconds.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Maximum Magicka,Maximum Health,Counterattack,Restore Magicka,Light Armor,5-Piece Bonus,Cropsford,Light Armor,Any Weapon,Jewelry,Alliance Style,Alliance Point Cost,,,,,28-1206 Maximum,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Destructive Impact,,Reduces the cost of Destructive Touch by 10% and increases your Weapon Damage and Spell Damage by 13-600 for 4 seconds after activating it.,,,,,,,,,,,Sets,itemset,Skill Bonus,Weapon/Spell Damage,Reduce Magicka Cost,2-Piece Bonus,Destruction Staff,Weapon,High Elf Style,Dragonstar Arena,Dark Elf Style,Nord Style,Mixed Style,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Destructive Mage,,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,"When you deal damage with a fully-charged Heavy Attack, you mark the enemy with unstable energies for 10 seconds. If your mark was already active before applying, it instead detonates, dealing 1071 Magic damage all enemies within 8 meters. This effect can occur once every 3 seconds and scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Maximum Magicka,Weapon/Spell Damage,Weapon/Spell Critical,Weapon/Spell Damage,Heavy Attack Bonus,Light Armor,Magic Damage,Hel Ra Citadel,Area of Effect,5-Piece Bonus,Any Weapon,Jewelry,Light Armor,,,Celestial Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Diamond's Victory,,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,"While in combat, using an ability with a range of 7 meters or less grants you Range Supremacy for 5 seconds, adding 10-437 Weapon Damage and Spell Damage to your damage over time and ranged attacks. While in combat, using an ability with a range of over 7 meters grants you Melee Supremacy for 5 seconds, adding 10-437 Weapon Damage and Spell Damage to your melee attacks.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Weapon/Spell Critical,Double Weapon/Spell Damage,Skill Bonus,All Weights,Distance Bonus,Pentric Run,Melee Damage Bonus,Ranged Damage Bonus,5-Piece Bonus,Light Armor,Medium Armor,Blackwood,Blackwood,Heavy Armor,y,,Any Weapon,,,,Jewelry,,,,,,,,,Crafting Site(s),Pentric Run,,,,,,,,,,
Online:Disciplined Slash,,"When you deal damage with Reverse Slash, you generate up to 12 Ultimate based on how much execute bonus damage it dealt.",,,,,,,,,,,Sets,itemset,Skill Bonus,Ultimate Gain,Execute Bonus,2-Piece Bonus,Two Handed Weapon,Weapon,Asylum Style,Asylum Sanctorium,,,,,,Clockwork City,Clockwork City,,,,,,,,,,,,,,,,,,,,,,,,,,,12,
Online:Dolorous Arena,,Adds 28-1206 Maximum Health,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 34-1487 Armor,"While bracing you create a distortion barrier around yourself after 2 seconds. After the delay, every 2 seconds you gain 14-614 Armor and enemies within the distortion barrier have their Armor reduced by 42-1843 for 5 seconds. These effects stack up to 3 times.",,,,,,,,Sets,itemset,Maximum Health,Physical/Spell Resistance,Minor Aegis,Double Physical/Spell Resistance,Block Bonus,Heavy Armor,Area of Effect,Ossein Cage,Reduce Enemy Defense,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,2025 Content Pass,Seasons of the Worm Cult,Coldharbour Dominator Style,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Domihaus,Adds 25-1096 Maximum Magicka,"When you deal damage, you create a 10 meter ring of molten earth around you for 10 seconds, which deals 90 Flame damage and 90 Physical damage every 1 second. Standing within the ring grants you 6-300 Weapon Damage and Spell Damage. This effect can occur once every 15 seconds and the damage scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Maximum Stamina,Flame Damage,Maximum Magicka,Physical Damage,Damage Over Time,Monster Helm Sets,Area of Effect,Falkreath Hold,Weapon/Spell Damage,Undaunted Style,2-Piece Bonus,Head and Shoulders,,Horns of the Reach,Horns of the Reach,,y,,,25-1096 Maximum,25-1096 Maximum,,,,,,the item set,the enemy,Domihaus the Bloody-Horned,,,,,Falkreath Hold,Urgarlag Chief-bane,Domihaus the Bloody-Horned,,,,,,,
Online:Dov-rha Sabatons,"While Sprinting gain a stack of Draconic Scales every 0.5 seconds, granting you 660 Armor, up to 20 stacks max. Upon stopping you deal 0 Physical damage per stack in an 8 meter shockwave, gain a damage shield equal to damage dealt, and retain Draconic Scales for 10 seconds but cannot gain new stacks. At 20 stacks, this damage will also stun for 3 seconds. The damage scales off the higher of your Physical Resistance or Spell Resistance.",,,,,,,,,,,,Sets,itemset,Sprint Bonus,Reduce Damage Taken,Physical/Spell Resistance,Area of Effect,Physical Damage,Heavy Armor,Damage Shield,Antiquities,Crowd Control,1-Piece Bonus,Heavy Armor,Unique Style,,Greymoor,Deadlands,,,,,,,5,,,,,the antiquity,the achievement,Dov-rha Sabatons (achievement),,,,,,,,,armor,Dov-rha Sabatons,m,Mythic,,right
Online:Dragon's Appetite,,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Stamina Recovery,Adds 3-129 Stamina Recovery,"Increase your damage done to Bleeding enemies by 5-225. Dealing non-Bleed damage to Bleeding enemies generates a stack of Dragon's Appetite for 5 seconds, up to once per half second. After 10 stacks you consume Dragon's Appetite and heal for 4415 Health. The heal effect scales off the higher of your Max Magicka or Stamina.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Stamina Recovery,Stamina Recovery,Bleed Damage Bonus,Increase Damage Dealt,All Weights,Restore Health,Dragon's Belly,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,Any Weapon,Greymoor,Greymoor,Jewelry,y,4415,Crafting Site(s),3-129,,,,,,,,,,,Recovery,,Dragon's Belly,,,,,,,,,,
Online:Dragon's Defilement,,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Stamina,Adds 28-1206 Maximum Health,"When you take damage from a melee attack, gain a corrupting aura for 5 seconds that applies Minor Breach to all enemies within 8 meters of you, reducing their Physical Resistance and Spell Resistance by 2974. This effect can occur every 5 seconds.",,,,,,,,Sets,itemset,Maximum Stamina,Maximum Health,Double Maximum Stamina,Double Maximum Health,Counterattack,Heavy Armor,Area of Effect,Lair of Maarselok,Distance Bonus,Minor Breach,5-Piece Bonus,Heavy Armor,Any Weapon,Scalebreaker,Scalebreaker,Jewelry,,28-1206 Maximum,Stags of Z'en Style,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Dragonguard Elite,,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Stamina Recovery,"You gain a stack of Dragonguard Tactics for 5 seconds when you deal direct damage to an enemy from the front or their sides, up to 10 stacks. Each stack of Dragonguard Tactics increases your Critical Chance by 6-275. You can only gain one stack every 0.5 seconds.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Weapon/Spell Damage,Weapon/Spell Damage,Stamina Recovery,Direct Damage Bonus,Medium Armor,Positioning Bonus,Southern Elsweyr,Double Weapon/Spell Critical,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Dragonhold,Dragonhold,Dragonguard Style,y,,,3-129,,3,,153828,1,,,,,,Recovery,,,,,,Ancient Dragonguard Sword,,,,,,
Online:Drake's Rush,,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Stamina,"When you Bash an enemy, you and up to 3 group members within 15 meters of you gain Major Heroism for 12 seconds, granting you 3 Ultimate every 1.5 seconds. This effect can occur once every 18 seconds.",,,,,,,,Sets,itemset,Maximum Health,Double Maximum Stamina,Maximum Stamina,Bash Bonus,Major Heroism,Heavy Armor,Group Bonus,Black Drake Villa,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,True-Sworn Style,Flames of Ambition,Flames of Ambition,,,28-1206 Maximum,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,3,
Online:Draugr Hulk,,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Stamina,Adds 59-2550 Maximum Stamina,,,,,,,,Sets,itemset,Maximum Stamina,Triple Maximum Stamina,Double Maximum Stamina,Quadruple Maximum Stamina,5-Piece Bonus,Medium Armor,Medium Armor,Direfrost Keep,Any Weapon,Jewelry,Draugr Style,,,,,,,Maximum,,25-1096 Maximum,Maximum,3,,33286,1,,,,,,,,,,,,Dreadlord's Mark,,,,,,
Online:Draugr's Heritage,,Adds 4% Healing Taken,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,"When you take damage while you are under 35% Health, you knockdown all enemies within 4 meters of you for 2 seconds and heal for 2506 Health. This effect can occur once every 7 seconds and the heal scales off the higher of your Max Magicka or Stamina.",,,,,,,,Sets,itemset,Increase Healing Received,Double Maximum Health,Maximum Health,Counterattack,Near Death Effect,Heavy Armor,Area of Effect,The Rift,Distance Bonus,Crowd Control,Restore Health,5-Piece Bonus,Heavy Armor,,,Any Weapon,,28-1206 Maximum,Jewelry,,,,Draugr Style,,,,,,,,,,,,,,,,,,,,
Online:Draugr's Rest,,Adds 25-1096 Maximum Magicka,Adds 3-129 Magicka Recovery,Adds 4% Healing Done,"When you complete a fully-charged Heavy Attack, you create a circle of consecrated ground that heals you and your group members within 5 meters for 5550 Health over 10 seconds. This effect can occur once every 10 seconds and scales off the higher of your Max Magicka or Stamina.",,,,,,,,Sets,itemset,Maximum Magicka,Increase Healing Done,Magicka Recovery,Heavy Attack Bonus,Group Bonus,Light Armor,Restore Health,Falkreath Hold,Heal Others,Area of Effect,5-Piece Bonus,Light Armor,Any Weapon,Horns of the Reach,Horns of the Reach,Jewelry,,5550,Dreadhorn Style,,25-1096 Maximum,,,,,,,,,Recovery,,,,,,,,,,,,,
Online:Draugrkin's Grip,,Adds 25-1096 Maximum Magicka,Adds 34-1487 Offensive Penetration,Adds 3-129 Magicka Recovery,Increases your damage done by 7-330 but reduces your healing received by 10%.,,,,,,,,Sets,itemset,Maximum Magicka,Magicka Recovery,Physical/Spell Penetration,Increase Damage Dealt,Drawbacks,Light Armor,5-Piece Bonus,Unhallowed Grave,Light Armor,Any Weapon,Jewelry,Pyre Watch Style,,Harrowstorm,Harrowstorm,,,,,,25-1096 Maximum,,,,,,,,,Recovery,,,,,,,,,,,,,
Online:Dreamer's Mantle,,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Magicka,"When you take damage while you are under 35% Health, you knockdown all enemies within 4 meters of you for 2 seconds and restore 24-1058 Magicka. This effect can occur once every 7 seconds.",,,,,,,,Sets,itemset,Maximum Health,Maximum Magicka,Double Maximum Health,Counterattack,Near Death Effect,Light Armor,Area of Effect,Stormhaven,Distance Bonus,Crowd Control,Restore Magicka,5-Piece Bonus,Light Armor,,,Any Weapon,,28-1206 Maximum,Jewelry,,25-1096 Maximum,,High Elf Style,,,,,,,,,,,,,,,,,,,,
Online:Dreugh King Slayer,,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,Adds 15-657 Critical Chance,"Gain Major Brutality and Sorcery at all times, increasing your Weapon Damage and Spell Damage by 20%. When you kill an enemy, you gain Major Expedition for 8 seconds, increasing your Movement Speed by 30%.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Double Weapon/Spell Damage,Weapon/Spell Critical,Major Brutality,Heavy Armor,Major Sorcery,Fungal Grotto,Kill Bonus,Major Expedition,5-Piece Bonus,Heavy Armor,Any Weapon,,,Jewelry,y,,Dark Elf Style,,,3,,29095,1,,,,,,,,,,,,Crabclaw Charm,,,,,,
Online:Dro'zakar's Claws,,Adds 34-1487 Offensive Penetration,Adds 15-657 Critical Chance,Adds 3-129 Stamina Recovery,"For every bleed effect you have on an enemy, increase your Weapon Damage and Spell Damage by 2-103 against them.",,,,,,,,Sets,itemset,Physical/Spell Penetration,Weapon/Spell Critical,Weapon/Spell Critical,Stamina Recovery,Weapon/Spell Damage,Medium Armor,Bleed Damage Bonus,Moongrave Fane,Negative Effect Bonus,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Scalebreaker,Scalebreaker,Moongrave Fane Style,y,,,3-129,,,,,,,,,,,Recovery,,,,,,,,,,,,
Online:Druid's Braid,Adds 28-1206 Maximum Health,Adds 25-1096 Maximum Magicka,Adds 25-1096 Maximum Stamina,Adds 28-1206 Maximum Health,Adds 36-1565 Maximum Magicka,Adds 36-1565 Maximum Stamina,Adds 40-1722 Maximum Health,Adds 36-1565 Maximum Magicka,Adds 36-1565 Maximum Stamina,Adds 40-1722 Maximum Health,Adds 36-1565 Maximum Magicka,Adds 36-1565 Maximum Stamina,Sets,itemset,Maximum Health,Maximum Stamina,Maximum Magicka,Double Maximum Health,Double Maximum Magicka,All Weights,Double Maximum Stamina,Hidden Foundry,Triple Maximum Health,Triple Maximum Magicka,Triple Maximum Stamina,Quadruple Maximum Health,Quadruple Maximum Magicka,High Isle,High Isle,Quadruple Maximum Stamina,,28-1206 Maximum,12-Piece Bonus,25-1096 Maximum,25-1096 Maximum,,Light Armor,,,,,,,,,Medium Armor,Hidden Foundry,,,,,,,,,,
Online:Duneripper's Scales,,Adds 28-1206 Maximum Health,Adds 4% Healing Taken,Adds 4% Healing Taken,"While you are Bracing, your Physical Resistance and Spell Resistance are increased by 123-5310.",,,,,,,,Sets,itemset,Maximum Health,Double Increase Healing Received,Increase Healing Received,Block Bonus,Physical/Spell Resistance,Heavy Armor,Reduce Damage Taken,Volenfell,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Primal Style,,,,,28-1206 Maximum,,,,3,,33277,1,,,,,,,,,,,,Tremorscale's Tooth,,,,,,
Online:Dungeon Sets,,,,,,,,,,,,,Sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Dungeon Sets/Drops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Epic quality,,
Online:Durok's Bane,,Adds 28-1206 Maximum Health,Adds 3-129 Health Recovery,Adds 4% Healing Taken,"When you take damage, you apply Major Defile to the enemy for 5 seconds, reducing their healing received and damage shield strength by 12%. This effect can occur once every 7 seconds per enemy.",,,,,,,,Sets,itemset,Maximum Health,Increase Healing Received,Health Recovery,Counterattack,Major Defile,Heavy Armor,5-Piece Bonus,Selene's Web,Heavy Armor,Any Weapon,Jewelry,Redguard Style,,,,,,28-1206 Maximum,,,,3,,22188,1,,,,,,,,,,,,Arachnoid Ring,,,,,,
Online:Eagle Eye,,Adds 15-657 Critical Chance,Adds 38-1652 Critical Chance to your ranged direct damage abilities.,,,,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Double Weapon/Spell Critical,Skill Bonus,Ranged Damage Bonus,Three Piece,3-Piece Bonus,Bruma,Jewelry,Bow,Destruction Staff,Restoration Staff,Alliance Style,,,Alliance Point Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Earthgore,Adds 4% Healing Done,"When you heal yourself or a group member that is under 50% Health, you conjure a pool of blood underneath them, immediately removing all harmful area effects, and healing the lowest Health group member in the area after 2 seconds for 1702 Health every 2 seconds over 8 seconds. This effect can occur once every 20 seconds and scales off the higher of your Max Magicka or Stamina.",,,,,,,,,,,Sets,itemset,Increase Healing Done,Group Bonus,Healing Bonus,Near Death Effect,Restore Health,Monster Helm Sets,Area of Effect,Bloodroot Forge,Heal Others,Reduce Debuff Effects,Undaunted Style,2-Piece Bonus,Head and Shoulders,Horns of the Reach,Horns of the Reach,,,50%,,,,,,,,,the item set,the enemy,Earthgore Amalgam,,,,,Bloodroot Forge,Urgarlag Chief-bane,Earthgore Amalgam,,,,,,,
Online:Ebon Armory,,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 4% Healing Taken,Increases Max Health by 23-1000 for you and up to 11 other group members within 28 meters of you. This bonus persists through death.,,,,,,,,Sets,itemset,Maximum Health,Increase Healing Received,Double Maximum Health,Group Bonus,Full Group Bonus,Heavy Armor,Distance Bonus,Crypt of Hearts,Triple Maximum Health,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,,,Ebon Style,,28-1206 Maximum,Soul-Shriven Style,,,3,Mixed Style,16047,1,Bonehand's Amulet,,,,Recovery,Recovery,Unique Style,,,,,,,,,,,
Online:Elemental Catalyst,,Adds 25-1096 Maximum Magicka,Adds 15-657 Critical Chance,Adds 25-1096 Maximum Magicka,"Whenever you deal Flame, Shock, or Frost Damage, you apply a stack of Flame, Shock, or Frost Weakness to the enemy for 3 seconds. Each stack of an Elemental Weakness increases their Critical Damage taken by 5%. An enemy can only have one stack of each Elemental Weakness at a time.",,,,,,,,Sets,itemset,Maximum Magicka,Double Maximum Magicka,Weapon/Spell Critical,Flame Damage Bonus,Shock Damage Bonus,Light Armor,Frost Damage Bonus,Stone Garden,Reduce Enemy Defense,Increase Critical Damage,5-Piece Bonus,Light Armor,Any Weapon,Stonethorn,Stonethorn,Jewelry,,,Hazardous Alchemy Style,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Elemental Succession,,Adds 25-1096 Maximum Magicka,Adds 3-129 Weapon Damage and Spell Damage,Adds 25-1096 Maximum Magicka,"Whenever you deal Flame, Shock, or Frost Damage, you gain 11-492 Weapon Damage and Spell Damage for Flame, Shock, or Frost Damage for 4 seconds. Each effect is picked randomly and an effect that is already active cannot refresh.",,,,,,,,Sets,itemset,Maximum Magicka,Double Maximum Magicka,Weapon/Spell Damage,Flame Damage Bonus,Shock Damage Bonus,Light Armor,Frost Damage Bonus,Maelstrom Arena (place),5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Malacath Style,Orsinium,Orsinium,,y,,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Elf Bane,,Adds 15-657 Critical Chance,Adds 3-129 Weapon Damage and Spell Damage,Adds 3-129 Weapon Damage and Spell Damage,"While in combat, increases the duration of your Flame Damage over Time abilities by 5 seconds. This effect does not work with beam or channeled effects. Applies to Dragonknight Standard.",,,,,,,,Sets,itemset,Maximum Magicka,Double Weapon/Spell Damage,Weapon/Spell Damage,Double Weapon/Spell Damage,Increase Effect Duration,Heavy Armor,Flame Damage Bonus,Vlastarus,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,Alliance Style,,,Alliance Point Cost,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Embershield,,Adds 28-1206 Maximum Health,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,"When you complete a fully-charged Heavy Attack, you increase your Physical Resistance and Spell Resistance by 76-3300 and deal 0 Flame damage to all enemies within 5 meters of you every 1 second for 6 seconds. The damage scales off the higher of your Physical Resistance or Spell Resistance.",,,,,,,,Sets,itemset,Maximum Health,Physical/Spell Resistance,Double Maximum Health,Heavy Attack Bonus,Double Physical/Spell Resistance,Heavy Armor,Reduce Damage Taken,City of Ash,Flame Damage,Area of Effect,Distance Bonus,Damage Over Time,5-Piece Bonus,,,Heavy Armor,,28-1206 Maximum,Any Weapon,,,3,Jewelry,5832,1,Aegis of Ash,,,,,,Daedric Style,,,,,,,,,,,
Online:Encratis's Behemoth,Adds 25-1096 Maximum Magicka,Dealing Flame Damage to an enemy grants you Behemoth's Aura for 12 seconds that reaches up to 12 meters. You and up to 11 group members in the aura reduce Flame Damage taken by 5%. Enemies in the aura increase their Flame Damage taken by 5%. This effect can occur once every 15 seconds.,,,,,,,,,,,Sets,itemset,Maximum Magicka,Group Bonus,Flame Damage Bonus,Full Group Bonus,Area of Effect,Monster Helm Sets,Distance Bonus,Black Drake Villa,Reduce Damage Taken,Reduce Enemy Defense,Undaunted Style,2-Piece Bonus,Head and Shoulders,Flames of Ambition,Flames of Ambition,,,,,,25-1096 Maximum,,,,,,the item set,the enemy,Pyroturge Encratis,,,,,Black Drake Villa,Urgarlag Chief-bane,Pyroturge Encratis,,,,,,,
Online:Endurance,,Adds 44-1928 Maximum Health,Adds 14-618 Health Recovery,,,,,,,,,,Sets,itemset,Maximum Health,3-Piece Bonus,Health Recovery,Jewelry,Any Weapon,Three Piece,,Legionary Trophy Vault Planar Armor Trophy Vault,,,,,,Imperial City,Imperial City,,,44-1928 Maximum,,,,3,,55963,,Grievous Ward,,,,,,,,,,,,,,,,,
Online:Enervating Aura,,Adds 4% Healing Taken,Adds 28-1206 Maximum Health,Adds 34-1487 Armor,"When you deal direct damage, you have a 10% chance to create an area under the target that detonates after 1 second, applying Enervating Aura and Minor Enervation for 10 seconds to enemies within 5 meters. Enervating Aura lowers the Health Recovery, Magicka Recovery, and Stamina Recovery of enemy players by 3-129 per player hit. This effect can occur once every 15 seconds.",,,,,,,,Sets,itemset,Alliance Style,Increase Healing Received,Heavy Armor,Maximum Health,Physical/Spell Resistance,Heavy Armor,Direct Damage Bonus,Elite Gear Vendors,Area of Effect,Multiple Targets Hit Bonus,PvP Bonus,Negative Effect Bonus,5-Piece Bonus,,,Any Weapon,,28-1206 Maximum,Jewelry,,,,Alliance Point Cost,,,,,,,Recovery,Recovery,,,,,,,,,,,,
Online:Engine Guardian,Adds 3-129 Health Recovery,"When you use an ability that costs resources, you have a 25% chance to summon a Dwemer automaton to restore 12-550 Stamina or Magicka or 45-1955 Health to you every 0.5 seconds for 6 seconds. This effect can occur once every 10 seconds.",,,,,,,,,,,Sets,itemset,Health Recovery,Summon,Skill Bonus,Restore Health,Restore Stamina,Monster Helm Sets,Restore Magicka,Darkshade Caverns II,Undaunted Style,2-Piece Bonus,Head and Shoulders,,,,,,,3-129,,12-550,,,,,,,the item set,the enemy,The Engine Guardian,,,,,Darkshade Caverns II,Maj al-Ragath,The Engine Guardian,,,,,,,
Online:Esoteric Environment Greaves,"While you are above 50% Stamina, reduce your direct damage taken by 50% and lose 968 Stamina whenever you take direct damage, up to once every 0.3 seconds.",,,,,,,,,,,,Sets,itemset,Counterattack,Drawbacks,Reduce Damage Taken,Lose Stamina,Unique Style,Heavy Armor,1-Piece Bonus,Antiquities,Heavy Armor,,,,,Greymoor,Necrom,,,,,50%,,5,,,,Biome-Proof Plating,the antiquity,the achievement,Esoteric Environment Greaves (achievement),,,,,,,,,armor,Esoteric Environment Greaves,m,Mythic,,right
Online:Essence Thief,,Adds 25-1096 Maximum Stamina,Adds 25-1096 Maximum Stamina,Adds 3-129 Weapon Damage and Spell Damage,"Dealing damage with a Light or Heavy Attack draws essence from the enemy that pools near them for 5 seconds. Drawing from the pool heals you for 101-4356 Health, restores 101-4356 Stamina, and increases your damage done by 10% for 10 seconds. A pool can only be created once every 10 seconds.",,,,,,,,Sets,itemset,Maximum Stamina,Weapon/Spell Damage,Double Maximum Stamina,Light Attack Bonus,Heavy Attack Bonus,Medium Armor,Restore Health,White-Gold Tower,Restore Stamina,Increase Damage Dealt,5-Piece Bonus,Medium Armor,Any Weapon,Imperial City,Imperial City,Jewelry,y,101-4356,Xivkyn Style,25-1096 Maximum,,3,,69392,1,,,,,,,,,,,,Harvest Dirk,,,,,,
Online:Eternal Hunt,,Adds 25-1096 Maximum Stamina,Adds 3-129 Stamina Recovery,Adds 3-129 Stamina Recovery,"When you use Roll Dodge, you leave behind a rune that detonates when an enemy comes close, dealing 992 Poison Damage and immobilizing them for 1.5 seconds. This effect scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,Sets,itemset,Maximum Stamina,Double Stamina Recovery,Stamina Recovery,Dodge Roll Bonus,Trap,All Weights,Poison Damage,The Lost Pavilion,Crowd Control,5-Piece Bonus,Light Armor,Medium Armor,Heavy Armor,Thieves Guild,Thieves Guild,Any Weapon,y,,Jewelry,25-1096 Maximum,,,Crafting Site(s),,,,,,,,Recovery,,The Lost Pavilion,,,,,,,,,,
Online:Eternal Vigor,,Adds 3-129 Magicka Recovery,Adds 3-129 Stamina Recovery,Adds 3-129 Health Recovery,Adds 7-337 Stamina and Magicka Recovery while your Health is above 50%. Adds 23-1011 Health Recovery while your Health is 50% or less.,,,,,,,,Sets,itemset,Greymoor Style,Mixed Style,Anequina Style,Magicka Recovery,Stamina Recovery,Heavy Armor,Health Recovery,Western Skyrim,Full Health Bonus,Double Stamina Recovery,Double Magicka Recovery,Near Death Effect,Double Health Recovery,Greymoor,Greymoor,5-Piece Bonus,,3-129,Heavy Armor,3-129,3-129,2,Any Weapon,161019,1,Restoration Staff of Eternal Vigor,,,,Recovery,Recovery,Jewelry,,,,,,,,,,,
Online:Eternal Warrior,,Adds 4% Healing Taken,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 28-1206 Maximum Health,"When you take damage while below 25% Health in combat, you heal for 9370 Health and gain 2-100 Ultimate. This effect can occur once every 1 minute and the heal scales off your Max Health.",,,,,,,,Sets,itemset,Increase Healing Received,Maximum Health,Minor Aegis,Double Increase Healing Received,Near Death Effect,Heavy Armor,Restore Health,Hel Ra Citadel,Ultimate Gain,5-Piece Bonus,Heavy Armor,Any Weapon,Jewelry,,,Yokudan Style,,28-1206 Maximum,,,,,,,,,,,,,,,,,,,,,,,,2-100,
