family,page,template,param,value
sets,Online:Prophet's,Item Link,id,134958
sets,Online:Prophet's,Item Link,level,9
sets,Online:Prophet's,Item Link,quality,f
sets,Online:Prophet's,Item Link,1,Prophet's Greatsword
sets,Online:Prophet's,Item Link,id,134956
sets,Online:Prophet's,Item Link,level,9
sets,Online:Prophet's,Item Link,quality,f
sets,Online:Prophet's,Item Link,1,Prophet's Shield
sets,Online:Prophet's,Item Link,id,134799
sets,Online:Prophet's,Item Link,level,9
sets,Online:Prophet's,Item Link,quality,f
sets,Online:Prophet's,Item Link,1,Prophet's Bow
sets,Online:Prophet's,Item Link,id,134957
sets,Online:Prophet's,Item Link,level,9
sets,Online:Prophet's,Item Link,quality,f
sets,Online:Prophet's,Item Link,1,Prophet's Restoration Staff
sets,Online:Prophet's,Item Link,id,134800
sets,Online:Prophet's,Item Link,level,9
sets,Online:Prophet's,Item Link,quality,f
sets,Online:Prophet's,Item Link,1,Prophet's Dagger
sets,Online:Prophet's,Item Link,id,134801
sets,Online:Prophet's,Item Link,level,9
sets,Online:Prophet's,Item Link,quality,f
sets,Online:Prophet's,Item Link,1,Prophet's Inferno Staff
sets,Online:Prophet's,Item Link,id,134958
sets,Online:Prophet's,Item Link,level,15
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,1,Prophet's Greatsword
sets,Online:Prophet's,Item Link,id,134956
sets,Online:Prophet's,Item Link,level,15
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,1,Prophet's Shield
sets,Online:Prophet's,Item Link,id,134799
sets,Online:Prophet's,Item Link,level,15
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,1,Prophet's Bow
sets,Online:Prophet's,Item Link,id,134957
sets,Online:Prophet's,Item Link,level,15
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,1,Prophet's Restoration Staff
sets,Online:Prophet's,Item Link,id,134800
sets,Online:Prophet's,Item Link,level,15
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,1,Prophet's Dagger
sets,Online:Prophet's,Item Link,id,134801
sets,Online:Prophet's,Item Link,level,15
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,AL,1,T
sets,Online:Prophet's,Item Link,1,Prophet's Inferno Staff
sets,Online:Prophet's,Item Link,id,134958
sets,Online:Prophet's,Item Link,level,25
sets,Online:Prophet's,Item Link,quality,e
sets,Online:Prophet's,Item Link,1,Prophet's Greatsword
sets,Online:Prophet's,Item Link,id,134956
sets,Online:Prophet's,Item Link,level,25
sets,Online:Prophet's,Item Link,quality,e
sets,Online:Prophet's,Item Link,1,Prophet's Shield
sets,Online:Prophet's,Item Link,id,134799
sets,Online:Prophet's,Item Link,level,25
sets,Online:Prophet's,Item Link,quality,e
sets,Online:Prophet's,Item Link,1,Prophet's Bow
sets,Online:Prophet's,Item Link,id,134957
sets,Online:Prophet's,Item Link,level,25
sets,Online:Prophet's,Item Link,quality,e
sets,Online:Prophet's,Item Link,1,Prophet's Restoration Staff
sets,Online:Prophet's,Item Link,id,134800
sets,Online:Prophet's,Item Link,level,25
sets,Online:Prophet's,Item Link,quality,e
sets,Online:Prophet's,Item Link,1,Prophet's Dagger
sets,Online:Prophet's,Item Link,id,134801
sets,Online:Prophet's,Item Link,level,25
sets,Online:Prophet's,Item Link,quality,e
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,level,33
sets,Online:Prophet's,Item Link,id,134975
sets,Online:Prophet's,Item Link,4,Prophet's Robes
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,level,33
sets,Online:Prophet's,Item Link,id,134976
sets,Online:Prophet's,Item Link,4,Prophet's Jack
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,level,33
sets,Online:Prophet's,Item Link,id,134977
sets,Online:Prophet's,Item Link,4,Prophet's Cuirass
sets,Online:Prophet's,AL,1,T
sets,Online:Prophet's,Item Link,1,Prophet's Inferno Staff
sets,Online:Prophet's,Item Link,id,134958
sets,Online:Prophet's,Item Link,level,41
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,1,Prophet's Greatsword
sets,Online:Prophet's,Item Link,id,134956
sets,Online:Prophet's,Item Link,level,41
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,1,Prophet's Shield
sets,Online:Prophet's,Item Link,id,134799
sets,Online:Prophet's,Item Link,level,41
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,1,Prophet's Bow
sets,Online:Prophet's,Item Link,id,134957
sets,Online:Prophet's,Item Link,level,41
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,1,Prophet's Restoration Staff
sets,Online:Prophet's,Item Link,id,134800
sets,Online:Prophet's,Item Link,level,41
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,1,Prophet's Dagger
sets,Online:Prophet's,Item Link,id,134801
sets,Online:Prophet's,Item Link,level,41
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,id,135132
sets,Online:Prophet's,Item Link,level,47
sets,Online:Prophet's,Item Link,4,Arcane Ring of the Prophet
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,id,135131
sets,Online:Prophet's,Item Link,level,47
sets,Online:Prophet's,Item Link,4,Healthy Ring of the Prophet
sets,Online:Prophet's,Item Link,quality,s
sets,Online:Prophet's,Item Link,id,135133
sets,Online:Prophet's,Item Link,level,47
sets,Online:Prophet's,Item Link,4,Robust Ring of the Prophet
sets,Online:Prophet's,ESO Sets With,1,Maximum Health
sets,Online:Prophet's,ESO Sets With,2,1-Piece Bonus
sets,Online:Prophet's,ESO Sets With,3,Any Weapon
sets,Online:Prophet's,ESO Sets With,4,Light Armor
sets,Online:Prophet's,ESO Sets With,5,Medium Armor
sets,Online:Prophet's,ESO Sets With,6,Heavy Armor
sets,Online:Prophet's,ESO Sets With,7,Jewelry
sets,Online:Prowler's Talisman,SetBonus,1 items,"While Battle Spirit is inactive, bracing while crouching turns you invisible for 10 seconds. This can occur once every 45 seconds. Increase your chances of successfully Pickpocketing by 5%. On dealing Critical Damage, increase your Max Magicka and Max Stamina for 10 seconds, up to 1900 at 10 stacks. On dealing non-Critical Damage, increase your Health, Magicka, and Stamina Recovery for 10 seconds, up to 160 at 10 stacks. Either effect can occur up to once every 1 second."
sets,Online:Prowler's Talisman,Trail,1,Sets
sets,Online:Prowler's Talisman,Online Update,type,itemset
sets,Online:Prowler's Talisman,icon,1,armor
sets,Online:Prowler's Talisman,icon,2,Prowler's Talisman
sets,Online:Prowler's Talisman,icon,al,right
sets,Online:Prowler's Talisman,ESO Quality Color,1,m
sets,Online:Prowler's Talisman,ESO Quality Color,2,Mythic
sets,Online:Prowler's Talisman,ESO Magicka Link,1,Max
sets,Online:Prowler's Talisman,ESO Stamina Link,1,Max
sets,Online:Prowler's Talisman,ESO Stamina Link,2,Recovery
sets,Online:Prowler's Talisman,icon,1,fragment
sets,Online:Prowler's Talisman,icon,2,Fragment of the Maw
sets,Online:Prowler's Talisman,Item Link,1,Phynaster's Gem of Stealth
sets,Online:Prowler's Talisman,Item Link,itemid,225211
sets,Online:Prowler's Talisman,Item Link,quality,5
sets,Online:Prowler's Talisman,icon,1,misc
sets,Online:Prowler's Talisman,icon,2,Emerald
sets,Online:Prowler's Talisman,Item Link,1,Phynaster's Gem of Agility
sets,Online:Prowler's Talisman,Item Link,itemid,225212
sets,Online:Prowler's Talisman,Item Link,quality,5
sets,Online:Prowler's Talisman,icon,1,misc
sets,Online:Prowler's Talisman,icon,2,Ruby
sets,Online:Prowler's Talisman,Huh,1,"Got it from ""The Beriel Heirloom"", not sure if that is a set reward or random"
sets,Online:Prowler's Talisman,Item Link,1,Phynaster's Gem of Deception
sets,Online:Prowler's Talisman,Item Link,itemid,225213
sets,Online:Prowler's Talisman,Item Link,quality,5
sets,Online:Prowler's Talisman,icon,1,fragment
sets,Online:Prowler's Talisman,icon,2,Fragment of the Storm
sets,Online:Prowler's Talisman,Huh,1,Got it from a chest after completing a wing
sets,Online:Prowler's Talisman,Item Link,1,Phynaster's Gem of Cunning
sets,Online:Prowler's Talisman,Item Link,itemid,225214
sets,Online:Prowler's Talisman,Item Link,quality,5
sets,Online:Prowler's Talisman,ESO Magicka Link,1,Max
sets,Online:Prowler's Talisman,ESO Stamina Link,1,Max
sets,Online:Prowler's Talisman,ESO Stamina Link,2,Recovery
sets,Online:Prowler's Talisman,ESO Magicka Link,1,Max
sets,Online:Prowler's Talisman,ESO Stamina Link,1,Max
sets,Online:Prowler's Talisman,ESO Stamina Link,2,Recovery
sets,Online:Prowler's Talisman,ESO Magicka Link,1,Max
sets,Online:Prowler's Talisman,ESO Stamina Link,1,Max
sets,Online:Prowler's Talisman,ESO Stamina Link,2,Recovery
sets,Online:Prowler's Talisman,ESO Achievements List,1,Walk in the Prowler's Boots
sets,Online:Prowler's Talisman,Bug,1,Not all players haven been receiving the Prowler's Talisman as a reward for completing the Codex Caper.[https://help.bethesda.net/#en/answer/75180 Acknowledgement of issue]
sets,Online:Prowler's Talisman,Bug,confirmed,1
sets,Online:Prowler's Talisman,ESO Sets With,1,Crouch Bonus
sets,Online:Prowler's Talisman,ESO Sets With,2,Invisibility
sets,Online:Prowler's Talisman,ESO Sets With,3,Pickpocket Bonus
sets,Online:Prowler's Talisman,ESO Sets With,4,Critical Damage Bonus
sets,Online:Prowler's Talisman,ESO Sets With,5,Maximum Magicka
sets,Online:Prowler's Talisman,ESO Sets With,6,Maximum Stamina
sets,Online:Prowler's Talisman,ESO Sets With,7,Magic Damage Bonus
sets,Online:Prowler's Talisman,ESO Sets With,8,Physical Damage Bonus
sets,Online:Prowler's Talisman,ESO Sets With,9,Direct Damage Bonus
sets,Online:Prowler's Talisman,ESO Sets With,10,Health Recovery
sets,Online:Prowler's Talisman,ESO Sets With,11,Magicka Recovery
sets,Online:Prowler's Talisman,ESO Sets With,12,Stamina Recovery
sets,Online:Prowler's Talisman,ESO Sets With,14,1-Piece Bonus
sets,Online:Prowler's Talisman,ESO Sets With,15,Jewelry
sets,Online:Prowler's Talisman,ESO Sets With,16,Unique Style
sets,Online:Prowler's Talisman,ESO Sets With,settype,Jewelry
sets,Online:Prowler's Talisman,ESO Sets With,dlc,Season Zero
sets,Online:Prowler's Talisman,ESO Sets With,source,The Codex Caper
sets,Online:Puncturing Remedy,SetBonus,2 items,"When you deal damage with Puncture, you heal for 2230 Health and gain Spell Resistance and Physical Resistance equal to the amount of healing or over healing done for 5 seconds. The healing scales off your Max Health."
sets,Online:Puncturing Remedy,Trail,1,Sets
sets,Online:Puncturing Remedy,Online Update,type,itemset
sets,Online:Puncturing Remedy,ESO Health Link,1,2230
sets,Online:Puncturing Remedy,ESO Resistance Link,1,Spell
sets,Online:Puncturing Remedy,ESO Resistance Link,4,y
sets,Online:Puncturing Remedy,ESO Resistance Link,1,Physical
sets,Online:Puncturing Remedy,ESO Health Link,1,Max
sets,Online:Puncturing Remedy,ESO Sets With,1,Skill Bonus
sets,Online:Puncturing Remedy,ESO Sets With,2,Restore Health
sets,Online:Puncturing Remedy,ESO Sets With,3,Physical/Spell Resistance
sets,Online:Puncturing Remedy,ESO Sets With,4,Reduce Damage Taken
sets,Online:Puncturing Remedy,ESO Sets With,5,2-Piece Bonus
sets,Online:Puncturing Remedy,ESO Sets With,6,One Handed Weapon
sets,Online:Puncturing Remedy,ESO Sets With,7,Shield
sets,Online:Puncturing Remedy,ESO Sets With,8,Khajiit Style
sets,Online:Puncturing Remedy,ESO Sets With,9,Argonian Style
sets,Online:Puncturing Remedy,ESO Sets With,10,Dark Elf Style
sets,Online:Puncturing Remedy,ESO Sets With,11,Nord Style
sets,Online:Puncturing Remedy,ESO Sets With,12,Mixed Style
sets,Online:Puncturing Remedy,ESO Sets With,settype,Weapon
sets,Online:Puncturing Remedy,ESO Sets With,source,Dragonstar Arena
sets,Online:Pyrebrand,SetBonus,2 items,Adds 34-1487 Offensive Penetration
sets,Online:Pyrebrand,SetBonus,3 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Pyrebrand,SetBonus,4 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Pyrebrand,SetBonus,5 items,"Your Light Attacks deal 836 Flame damage over 6 seconds. This effect can activate Wildfire Embers, up to once every 10 seconds. Your fully-charged Heavy Attacks consume up to 3 stacks of your Wildfire Embers to deal 629 Flame damage around the target, dealing up to 200% more damage to enemies below 33% Health. The damage scales off the higher of your Weapon Damage and Spell Damage increases by 25% per stack of Recursive Flame and Pyrebrand."
sets,Online:Pyrebrand,Trail,1,Sets
sets,Online:Pyrebrand,Online Update,type,itemset
sets,Online:Pyrebrand,ESO Weapon Damage Link,3,y
sets,Online:Pyrebrand,ESO Weapon Damage Link,3,y
sets,Online:Pyrebrand,ESO Health Link,1,33%
sets,Online:Pyrebrand,ESO Weapon Damage Link,3,y
sets,Online:Pyrebrand,ESO Icon Abbr,1,death
sets,Online:Pyrebrand,ESO Icon Abbr,2,Pyrebrand
sets,Online:Pyrebrand,ESO Sets With,1,Physical/Spell Penetration
sets,Online:Pyrebrand,ESO Sets With,2,Weapon/Spell Damage
sets,Online:Pyrebrand,ESO Sets With,3,Weapon/Spell Damage
sets,Online:Pyrebrand,ESO Sets With,4,Double Weapon/Spell Damage
sets,Online:Pyrebrand,ESO Sets With,5,Light Attack Bonus
sets,Online:Pyrebrand,ESO Sets With,6,Damage Over Time
sets,Online:Pyrebrand,ESO Sets With,7,Flame Damage
sets,Online:Pyrebrand,ESO Sets With,8,Heavy Attack Bonus
sets,Online:Pyrebrand,ESO Sets With,9,Damage Over Time Bonus
sets,Online:Pyrebrand,ESO Sets With,10,Area of Effect
sets,Online:Pyrebrand,ESO Sets With,11,Execute
sets,Online:Pyrebrand,ESO Sets With,12,Negative Effect Bonus
sets,Online:Pyrebrand,ESO Sets With,13,5-Piece Bonus
sets,Online:Pyrebrand,ESO Sets With,14,Light Armor
sets,Online:Pyrebrand,ESO Sets With,15,Medium Armor
sets,Online:Pyrebrand,ESO Sets With,16,Heavy Armor
sets,Online:Pyrebrand,ESO Sets With,17,Any Weapon
sets,Online:Pyrebrand,ESO Sets With,18,Jewelry
sets,Online:Pyrebrand,ESO Sets With,19,Basalt-Blood Warrior Style
sets,Online:Pyrebrand,ESO Sets With,settype,All Weights
sets,Online:Pyrebrand,ESO Sets With,source,Infinite Archive
sets,Online:Queen's Elegance,SetBonus,2 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Queen's Elegance,SetBonus,3 items,Adds 25-1096 Maximum Magicka
sets,Online:Queen's Elegance,SetBonus,4 items,Adds 25-1096 Maximum Magicka
sets,Online:Queen's Elegance,SetBonus,5 items,"When you use a Light Attack you reduce the Health, Magicka, or Stamina cost of your next active ability cast within 2 seconds by 10%. When you use a fully-charged Heavy Attack you gain Empower for 3 seconds, increasing the damage of your Heavy Attacks against monsters by 150%. Each of these effects can occur once every second."
sets,Online:Queen's Elegance,Trail,1,Sets
sets,Online:Queen's Elegance,Online Update,type,itemset
sets,Online:Queen's Elegance,ESO Weapon Damage Link,3,y
sets,Online:Queen's Elegance,ESO Magicka Link,1,25-1096 Maximum
sets,Online:Queen's Elegance,ESO Magicka Link,1,25-1096 Maximum
sets,Online:Queen's Elegance,Item Link,1,Artificer's Bolt
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,Item Link,quality,2
sets,Online:Queen's Elegance,Item Link,id,29953
sets,Online:Queen's Elegance,Item Link,1,Binder's Robe
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,Item Link,quality,2
sets,Online:Queen's Elegance,Item Link,id,7635
sets,Online:Queen's Elegance,Item Link,1,Elegant Bakhig's Purestaff
sets,Online:Queen's Elegance,Item Link,id,34440
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,Item Link,quality,3
sets,Online:Queen's Elegance,Item Link,1,Elegant Deathcaller's Cowl
sets,Online:Queen's Elegance,Item Link,id,42986
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,Item Link,quality,3
sets,Online:Queen's Elegance,Item Link,1,Elegant Serpent's Flame
sets,Online:Queen's Elegance,Item Link,id,42990
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,Item Link,quality,3
sets,Online:Queen's Elegance,Item Link,1,Elegant Wormtainted Kilt
sets,Online:Queen's Elegance,Item Link,id,34441
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,Item Link,quality,3
sets,Online:Queen's Elegance,Item Link,1,Estre's Dreadstaff
sets,Online:Queen's Elegance,Item Link,quality,2
sets,Online:Queen's Elegance,Item Link,id,7652
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,Item Link,1,Kilt of the Fractured Mind
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,Item Link,quality,2
sets,Online:Queen's Elegance,Item Link,id,7628
sets,Online:Queen's Elegance,Item Link,id,29952
sets,Online:Queen's Elegance,Item Link,2,Plaguetender's Staff
sets,Online:Queen's Elegance,Item Link,quality,2
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,Item Link,1,Traitor's Flame
sets,Online:Queen's Elegance,Item Link,quality,2
sets,Online:Queen's Elegance,Item Link,id,7598
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,Item Link,1,War-Mage's Cowl
sets,Online:Queen's Elegance,Item Link,quality,2
sets,Online:Queen's Elegance,Item Link,id,7624
sets,Online:Queen's Elegance,Item Link,summary,1
sets,Online:Queen's Elegance,ESO Sets With,1,Weapon/Spell Damage
sets,Online:Queen's Elegance,ESO Sets With,2,Maximum Magicka
sets,Online:Queen's Elegance,ESO Sets With,3,Double Maximum Magicka
sets,Online:Queen's Elegance,ESO Sets With,4,Light Attack Bonus
sets,Online:Queen's Elegance,ESO Sets With,5,Reduce Health Cost
sets,Online:Queen's Elegance,ESO Sets With,6,Reduce Magicka Cost
sets,Online:Queen's Elegance,ESO Sets With,7,Reduce Stamina Cost
sets,Online:Queen's Elegance,ESO Sets With,8,Heavy Attack Bonus
sets,Online:Queen's Elegance,ESO Sets With,9,Empower
sets,Online:Queen's Elegance,ESO Sets With,10,5-Piece Bonus
sets,Online:Queen's Elegance,ESO Sets With,11,Light Armor
sets,Online:Queen's Elegance,ESO Sets With,12,Any Weapon
sets,Online:Queen's Elegance,ESO Sets With,13,Jewelry
sets,Online:Queen's Elegance,ESO Sets With,14,High Elf Style
sets,Online:Queen's Elegance,ESO Sets With,settype,Light Armor
sets,Online:Queen's Elegance,ESO Sets With,source,Auridon
sets,Online:Quick Serpent,SetBonus,2 items,Adds 15-657 Critical Chance
sets,Online:Quick Serpent,SetBonus,3 items,Adds 25-1096 Maximum Stamina
sets,Online:Quick Serpent,SetBonus,4 items,Adds 25-1096 Maximum Stamina
sets,Online:Quick Serpent,SetBonus,5 items,"Reduces the costs of your Stamina abilities by 8%. When an enemy you have recently damaged dies, you restore 57-2454 Stamina and gain Major Expedition for 8 seconds, increasing your Movement Speed by 30%. These effects can occur once every second."
sets,Online:Quick Serpent,Trail,1,Sets
sets,Online:Quick Serpent,Online Update,type,itemset
sets,Online:Quick Serpent,ESO Stamina Link,1,25-1096 Maximum
sets,Online:Quick Serpent,ESO Stamina Link,1,25-1096 Maximum
sets,Online:Quick Serpent,ESO Stamina Link,1,57-2454
sets,Online:Quick Serpent,ESO Sets With,1,Weapon/Spell Critical
sets,Online:Quick Serpent,ESO Sets With,2,Maximum Stamina
sets,Online:Quick Serpent,ESO Sets With,3,Double Maximum Stamina
sets,Online:Quick Serpent,ESO Sets With,4,Reduce Stamina Cost
sets,Online:Quick Serpent,ESO Sets With,5,Kill Bonus
sets,Online:Quick Serpent,ESO Sets With,6,Restore Stamina
sets,Online:Quick Serpent,ESO Sets With,7,Major Expedition
sets,Online:Quick Serpent,ESO Sets With,8,5-Piece Bonus
sets,Online:Quick Serpent,ESO Sets With,9,Medium Armor
sets,Online:Quick Serpent,ESO Sets With,10,Any Weapon
sets,Online:Quick Serpent,ESO Sets With,11,Jewelry
sets,Online:Quick Serpent,ESO Sets With,12,Celestial Style
sets,Online:Quick Serpent,ESO Sets With,settype,Medium Armor
sets,Online:Quick Serpent,ESO Sets With,source,Aetherian Archive
sets,Online:Radial Uppercut,SetBonus,2 items,Uppercut deals 45% of its damage to all enemies near your primary target.
sets,Online:Radial Uppercut,Mod Header,1,Murkmire
sets,Online:Radial Uppercut,Trail,1,Sets
sets,Online:Radial Uppercut,Online Update,type,itemset
sets,Online:Radial Uppercut,ESO Sets With,1,Skill Bonus
sets,Online:Radial Uppercut,ESO Sets With,2,Area of Effect
sets,Online:Radial Uppercut,ESO Sets With,3,2-Piece Bonus
sets,Online:Radial Uppercut,ESO Sets With,4,Two Handed Weapon
sets,Online:Radial Uppercut,ESO Sets With,5,Honor Guard Style
sets,Online:Radial Uppercut,ESO Sets With,settype,Weapon
sets,Online:Radial Uppercut,ESO Sets With,dlc,Murkmire
sets,Online:Radial Uppercut,ESO Sets With,source,Blackrose Prison
sets,Online:Radiant Bastion,SetBonus,2 items,Adds 28-1206 Maximum Health
sets,Online:Radiant Bastion,SetBonus,3 items,Adds 3-129 Weapon Damage and Spell Damage
sets,Online:Radiant Bastion,SetBonus,4 items,Adds 28-1206 Maximum Health
sets,Online:Radiant Bastion,SetBonus,5 items,"Deal 10% of all direct damage done to you back to the attacker, up to 4250 damage."
sets,Online:Radiant Bastion,Mod Header,1,Markarth
sets,Online:Radiant Bastion,Trail,1,Sets
sets,Online:Radiant Bastion,Online Update,type,itemset
sets,Online:Radiant Bastion,ESO Health Link,1,28-1206 Maximum
sets,Online:Radiant Bastion,ESO Weapon Damage Link,3,y
sets,Online:Radiant Bastion,ESO Health Link,1,28-1206 Maximum
sets,Online:Radiant Bastion,ESO Sets With,1,Maximum Health
sets,Online:Radiant Bastion,ESO Sets With,2,Weapon/Spell Damage
sets,Online:Radiant Bastion,ESO Sets With,3,Double Maximum Health
sets,Online:Radiant Bastion,ESO Sets With,4,Counterattack
sets,Online:Radiant Bastion,ESO Sets With,5,5-Piece Bonus
sets,Online:Radiant Bastion,ESO Sets With,6,Heavy Armor
sets,Online:Radiant Bastion,ESO Sets With,7,Any Weapon
sets,Online:Radiant Bastion,ESO Sets With,8,Jewelry
sets,Online:Radiant Bastion,ESO Sets With,9,Arkthzand Armory Style
sets,Online:Radiant Bastion,ESO Sets With,settype,Heavy Armor
sets,Online:Radiant Bastion,ESO Sets With,dlc,Markarth
sets,Online:Radiant Bastion,ESO Sets With,source,The Reach
sets,Online:Rage of the Ursauk,SetBonus,2 items,Adds 34-1487 Offensive Penetration
sets,Online:Rage of the Ursauk,SetBonus,3 items,Adds 34-1487 Offensive Penetration
sets,Online:Rage of the Ursauk,SetBonus,4 items,Adds 15-657 Critical Chance
sets,Online:Rage of the Ursauk,SetBonus,5 items,"When you deal damage with a Heavy Attack, create a 12 meter area for 12 seconds that grants Empower to group members inside, increasing the damage of their Heavy Attacks against monsters by 150%. This effect can occur once every 8 seconds."
sets,Online:Rage of the Ursauk,Mod Header,1,Lost Depths
sets,Online:Rage of the Ursauk,Trail,1,Sets
sets,Online:Rage of the Ursauk,Online Update,type,itemset
sets,Online:Rage of the Ursauk,ESO Sets With,1,Physical/Spell Penetration
sets,Online:Rage of the Ursauk,ESO Sets With,2,Double Physical/Spell Penetration
sets,Online:Rage of the Ursauk,ESO Sets With,3,Double Physical/Spell Penetration
sets,Online:Rage of the Ursauk,ESO Sets With,4,Weapon/Spell Critical
sets,Online:Rage of the Ursauk,ESO Sets With,5,Heavy Attack Bonus
sets,Online:Rage of the Ursauk,ESO Sets With,6,Area of Effect
sets,Online:Rage of the Ursauk,ESO Sets With,7,Group Bonus
sets,Online:Rage of the Ursauk,ESO Sets With,8,Empower
sets,Online:Rage of the Ursauk,ESO Sets With,9,5-Piece Bonus
sets,Online:Rage of the Ursauk,ESO Sets With,10,Medium Armor
sets,Online:Rage of the Ursauk,ESO Sets With,11,Any Weapon
sets,Online:Rage of the Ursauk,ESO Sets With,12,Jewelry
sets,Online:Rage of the Ursauk,ESO Sets With,settype,Medium Armor
sets,Online:Rage of the Ursauk,ESO Sets With,14,Y'ffre's Will Style
sets,Online:Rage of the Ursauk,ESO Sets With,dlc,Lost Depths
sets,Online:Rage of the Ursauk,ESO Sets With,source,Earthen Root Enclave
sets,Online:Rakkhat's Voidmantle,SetBonus,1 items,"Increases your damage done with non-Ultimate Heavy Attacks and decreases your damage done with Light Attacks by 50% each. Dealing damage with a Light Attack restores 431 Magicka or Stamina, depending on your equipped weapon type. This resource restore is treated as a Heavy Attack resource restore for bonuses and penalties. Your Heavy Attacks no longer restore resources."
sets,Online:Rakkhat's Voidmantle,Mod Header,1,Elsweyr
sets,Online:Rakkhat's Voidmantle,Mod Header,2,Thieves Guild
sets,Online:Rakkhat's Voidmantle,Trail,1,Sets
sets,Online:Rakkhat's Voidmantle,Online Update,type,itemset
sets,Online:Rakkhat's Voidmantle,about,1,the antiquity
sets,Online:Rakkhat's Voidmantle,about,2,the achievement
sets,Online:Rakkhat's Voidmantle,about,3,Rakkhat's Voidmantle (achievement)
sets,Online:Rakkhat's Voidmantle,icon,1,armor
sets,Online:Rakkhat's Voidmantle,icon,2,Rakkhat's Voidmantle
sets,Online:Rakkhat's Voidmantle,icon,al,right
sets,Online:Rakkhat's Voidmantle,ESO Quality Color,1,m
sets,Online:Rakkhat's Voidmantle,ESO Quality Color,2,Mythic
sets,Online:Rakkhat's Voidmantle,Item Link,antiquityid,724
sets,Online:Rakkhat's Voidmantle,Item Link,quality,5
sets,Online:Rakkhat's Voidmantle,Item Link,3,Double-Moon Leather Cop
sets,Online:Rakkhat's Voidmantle,Item Link,antiquityid,725
sets,Online:Rakkhat's Voidmantle,Item Link,quality,5
sets,Online:Rakkhat's Voidmantle,Item Link,3,Nightwing Besagew
sets,Online:Rakkhat's Voidmantle,Item Link,antiquityid,726
sets,Online:Rakkhat's Voidmantle,Item Link,quality,5
sets,Online:Rakkhat's Voidmantle,Item Link,3,Blackened Moonstone Rivets
sets,Online:Rakkhat's Voidmantle,Item Link,antiquityid,727
sets,Online:Rakkhat's Voidmantle,Item Link,quality,5
sets,Online:Rakkhat's Voidmantle,Item Link,3,Darkheart Leather Cop
sets,Online:Rakkhat's Voidmantle,Item Link,antiquityid,728
sets,Online:Rakkhat's Voidmantle,Item Link,quality,5
sets,Online:Rakkhat's Voidmantle,Item Link,3,Darkheart Armor Glaze
sets,Online:Rakkhat's Voidmantle,ESO Achievements List,1,Rakkhat's Voidmantle (achievement)
sets,Online:Rakkhat's Voidmantle,ESO Achievements List,2,Antiquarian Chase: West Solstice
sets,Online:Rakkhat's Voidmantle,ESO Sets With,1,Restore Magicka
sets,Online:Rakkhat's Voidmantle,ESO Sets With,2,Restore Stamina
sets,Online:Rakkhat's Voidmantle,ESO Sets With,3,Off Balance Bonus
sets,Online:Rakkhat's Voidmantle,ESO Sets With,4,Increase Light/Heavy Attack Damage
sets,Online:Rakkhat's Voidmantle,ESO Sets With,5,Drawbacks
sets,Online:Rakkhat's Voidmantle,ESO Sets With,6,Light Attack Bonus
sets,Online:Rakkhat's Voidmantle,ESO Sets With,7,1-Piece Bonus
sets,Online:Rakkhat's Voidmantle,ESO Sets With,8,Medium Armor
sets,Online:Rakkhat's Voidmantle,ESO Sets With,9,Unique Style
