page,Online Skill Summary.line,Online Skill Summary.desc,Online Skill Summary.icon,Online Skill Summary.id,ESO Patch Note.1,ESO Patch Note.2,ESO Skills With.1,Online Skill Summary.type,ESO Skills With.2,Online Skill Summary.desc2,ESO Skills With.3,Online Skill Summary.linerank1,Online Skill Summary.linerank,Online Skill Summary.cost,Online Skill Summary.target,Online Skill Summary.casttime,ESO Skills With.4,Online Skill Summary.linerank2,Online Skill Summary.image,Online Skill Summary.imgdesc,Online Skill Summary.id1,Online Skill Summary.id2,Online Skill Summary.desc1,Online Skill Summary.morph1name,Online Skill Summary.morph1id,Online Skill Summary.morph1desc,Online Skill Summary.morph2name,Online Skill Summary.morph2id,Online Skill Summary.morph2icon,Online Skill Summary.morph2desc,Online Skill Summary.morph1icon,ESO Skills With.5,Mod Header.1,Online Skill Summary.duration,ESO Skills With.6,Online Skill Summary.attrib,Online Skill Summary.range,ESO Skills With.7,Online Skill Summary.radius,ESO Companion Skills With.1,ESO Companion Skills With.2,ESO Skills With.8,Online Skill Summary.desc3,Online Skill Summary.linerank3,Online Skill Summary.id3,ESO Skills With.9,ESO Companion Skills With.3,ESO Health Link.1,Online Skill Summary.area
Online:Cleansing Ritual,Restoring Light,"Exalt in the sacred light of the Aedra, cleansing up to 2 harmful effects from yourself immediately and healing you and nearby allies for [2235 / 2260 / 2283 / 2309] Health every 2 seconds for 20 seconds. Allies in the area can activate the Purify Synergy synergy, cleansing all harmful effects from themselves and healing for 5227 Health.",Restoring Light-Cleansing Ritual,27255,1.1.2,* This ability's Purify synergy will now only appear to allies that have a negative debuff that can be removed.,Cleanse,,Area of Effect,"Duration: [24 / 26 / 28 / 30] seconds. Exalt in the sacred light of the Aedra, cleansing up to 5 harmful effects from yourself immediately and healing you and nearby allies for 2309 Health every 2 seconds for [24 / 26 / 28 / 30] seconds. Allies in the area can activate the Purify Synergy synergy, cleansing all harmful effects from themselves and healing for 5227 Health.",Heal Self,,30,4860 Magicka,Area,Instant,Heal Others,,ON-skill-Cleansing_Ritual.jpg,A Cleansing Ritual,,,"Cost: 4050 Magicka. Exalt in the sacred light of the Aedra, cleansing up to 2 harmful effects from yourself immediately. While in the area, enemies take [1151 / 1163 / 1176 / 1190] Magic Damage every 2 seconds for 20 seconds which increases by 12% per tick. Allies in the area can activate the Purify Synergy synergy, cleansing all harmful effects from themselves and healing for 5227 Health.",Ritual of Retribution,27275,"The area now harms enemies who enter it, rather than healing allies, and reduces the cost. Damage increases over duration.",Extended Ritual,27295,Restoring Light-Extended Ritual,Increases the duration and the amount of harmful effects cleansed from yourself.,Restoring Light-Ritual of Retribution,Synergy,,20 seconds,Magic Damage,Magicka,,Damage Over Time,12 meters,,,Magicka Cost,,,,,,,
Online:Cleave,Two Handed,"Focus your strength into a mighty swing, dealing [4612 / 4662 / 4713 / 4764] Physical Damage to enemies in front of you. You also gain a damage shield that absorbs [4608 / 4657 / 4709 / 4759] damage for 6 seconds.",Two Handed-Cleave,39746,1.1.2,* Fixed an issue where this ability's damage wasn't scaling evenly across ranks.,Physical Damage,,Area of Effect,"Focus your strength into a mighty swing, dealing 4764 Physical Damage to enemies in front of you. You also gain a damage shield that absorbs [4765 / 4816 / 4869 / 4921] damage for 6 seconds. Each enemy hit increases the damage shield's strength by 50%, up to 300%.",Damage Shield,,14,3510 Stamina,Cone,Instant,Bleed Damage,,ON-skill-Cleave.jpg,Cleave,,,"Focus your strength into a mighty swing, dealing 4764 Bleed Damage to enemies in front of you, and causing them to bleed for an additional [7608 / 7686 / 7773 / 7857] Bleed Damage over 12 seconds. Hitting a target that is already affected from this ability extends the duration by 10 seconds, up to a maximum of 32. You also gain a damage shield that absorbs 4765 damage for 6 seconds.",Carve,39754,Converts into Bleed Damage and applies a bleed over time to enemies hit.,Brawler,39769,Two Handed-Brawler,Damage shield now increases in strength for each enemy hit.,Two Handed-Carve,Damage Over Time,,,Multiple Targets Hit Bonus,Stamina,,Stamina Cost,7 meters,,,,,,,,,,
Online:Clemency,Thieves Guild,"When a guard accosts you, you may use Clemency once per day. If used, the Guard will not arrest you or take your money and stolen goods. Additionally, Guards will not attempt to accost you for 1 minute after you use Clemency unless you commit other crimes.",Thieves Guild-Clemency,76451,,,Passive Effect,Passive,Escape Justice,,,4,,,,,,,,,,,,,,,,,,,,,Thieves Guild,,,,,,,,,,,,,,,,
Online:Coalescence,Scrying,"Unites a hexagonal cluster of facets in the Antiquarian's Eye, converting the symbols to match that of the central facet. Consumes 1 Magicka Charge.",Scrying-Coalescence,139306,,,Passive Effect,Passive,Antiquities,"Unites a hexagonal cluster of facets in the Antiquarian's Eye, converting the symbols to match that of the central facet. New Effect: The ability's range increases by one facet, creating a snowflake-like pattern. Consumes 1 Magicka Charge.",,2,,,,,,6,,,,,,,,,,,,,,,Greymoor,,,,,,,,,,,,,,,,
Online:Cold Snap,Winter's Bite,"Sharp-as-Night encircles themselves with ice shards to skewer enemies in the area, immobilizing them for 3 seconds and dealing 1098 Frost Damage every 2 seconds for 8 seconds. Damage done is based on Sharp-as-Night's Max Health.",Companion-Cold Snap,186604,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,5,12 seconds,Area,0.6 seconds,,,,,,,,,,,,,,,,,Necrom,8 seconds,,,,,10 meters,Frost Damage,Area of Effect,,,,,,Immobilize,,
Online:Combat Frenzy,Assault,You generate 10 Ultimate when you kill an enemy player.,Assault-Combat Frenzy,45619,1.6.5,* Reduced the Ultimate gain to 10/20 from 13/25.,Passive Effect,Passive,PvP Bonus,You generate 20 Ultimate when you kill an enemy player.,Ultimate Gain,8,,,,,,10,,,39252,45619,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Combat Medic,Support,Increases your healing done by 10% when you are near a Keep.,Support-Combat Medic,45624,,,Passive Effect,Passive,PvP Bonus,Increases your healing done by 20% when you are near a Keep.,Increase Healing Done,5,,,,,,10,,,39259,45624,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Combustion,Ardent Flame,"WITH AN ARDENT FLAME ABILITY SLOTTED To you, flame is fuel. When you apply Burning, you restore 112 Magicka and Stamina. This effect can occur once every 1 second.",Ardent Flame-Combustion,45011,2.4.5,"* Kindling: Renamed this passive ability to Combustion. In addition, this passive ability now also increases the damage of the Poisoned status effect, in addition to the Burning status effect.",Passive Effect,Passive,Status Effect Bonus,"WITH AN ARDENT FLAME ABILITY SLOTTED To you, flame is fuel. When you apply Burning to an enemy, you restore 225 Magicka and Stamina. This effect can occur once every 1 second.",Restore Magicka,8,,,,,Restore Stamina,18,,,29424,45011,,,,,,,,,,Increase Damage Dealt,,,,,,,,,,,,,,,,,
Online:Concentrated Barrier,Psijic Order,"While you have a Psijic Order ability slotted and are Bracing, you gain a damage shield that absorbs 2500 damage. This damage shield recharges back to full strength after you spend 10 seconds not Bracing.",Psijic Order-Concentrated Barrier,103964,4.0.8,"* Fixed an issue where the damage shield from this passive ability would remain on you when you logged back in to the game, causing its shield value to stack.",Passive Effect,Passive,Damage Shield,"While you have a Psijic Order ability slotted and are Bracing, you gain a damage shield that absorbs 5000 damage. This damage shield recharges back to full strength after you spend 10 seconds not Bracing.",,6,,,,,,8,ON-skill-Concentrated_Barrier.jpg,Barrier is Active,103888,103964,,,,,,,,,,,Summerset,,,,,,,,,,,,,,,,
Online:Concentration,Light Armor,Increases your Physical Penetration and Spell Penetration by 469 for each piece of Light Armor worn.,Light Armor-Concentration,45562,1.1.2,* Fixed an error in this ability's tooltip that incorrectly showed it as giving slightly more Spell Penetration than it was actually giving. The actual effect is unchanged.,Passive Effect,Passive,Physical Penetration,Increases your Physical Penetration and Spell Penetration by 939 for each piece of Light Armor worn.,Spell Penetration,42,,,,,Light Armor Boost,50,,,29667,45562,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Conditioning,Redguard,Increases your Max Stamina by 600.,Redguard-Conditioning,117754,4.3.5,* Gain 10% Max Stamina → Increases your Max Stamina by 2000.,Passive Effect,Passive,Increase Max Stamina,Increases your Max Stamina by 1200.,,10,,,,,,20,,,117752,117753,,,,,,,,,,,,,,,,,,,,,Increases your Max Stamina by 2000.,40,117754,,,,
Online:Conjured Ward,Daedric Summoning,"Conjure globes of Daedric energy for protection, granting a damage shield for you and your pets that absorbs [9900 / 10008 / 10117 / 10226] damage for 6 seconds. This ability scales off the higher of your Max Health or Magicka and the shield is capped at 55% of your Max Health.",Daedric Summoning-Conjured Ward,30463,1.2.3,* Hardened Ward: This ability now has a unique icon.,Damage Shield,,Heal Self,"Cost: [4050 / 3960 / 3870 / 3780] Magicka, Duration: 10 seconds, Area: 20 meters, Target: Area. Conjure globes of Daedric energy for protection, granting a damage shield for you and your pets that absorbs 10226 damage for 10 seconds, heals you for 832 Health, and grants Minor Intellect and Minor Endurance to you and nearby allies for 10 seconds. This ability scales off the higher of your Max Health or Magicka and the shield is capped at 55% of your Max Health.",Magicka Recovery,,30,4320 Magicka,Self,Instant,Stamina Recovery,,ON-skill-Conjured Ward.jpg,Conjured Ward,,,"Conjure globes of Daedric energy for protection, granting a damage shield for you and your pets that absorbs [7147 / 7226 / 7304 / 7383] damage for 6 seconds. This ability scales off the higher of your Max Health or Magicka and the shield is capped at 72% of your Max Health.",Hardened Ward,30474,Damage shield absorbs more and has a higher capped value.,Regenerative Ward,30486,Daedric Summoning-Regenerative Ward,"Reduces the cost, increases the duration of the shield, and also grants you and your allies Minor Intellect and Endurance. This ability now applies a self heal.",Daedric Summoning-Hardened Ward,Group Bonus,,6 seconds,Magicka Cost,Magicka,,,,,,,,,,,,,
Online:Connoisseur,Provisioning,Adds 5 minutes to the duration of any consumed drink.,Provisioning-Connoisseur,44615,2.7.5,* Fixed an issue that prevented the Connoisseur passive from correctly increasing the duration of certain Witches Festival and New Life Festival drinks.,Passive Effect,Passive,Increase Consumable Effect,Adds 10 minutes to the duration of any consumed drink.,,5,,,,,,18,,,44612,44614,,,,,,,,,,,,,,,,,,,,,Adds 20 minutes to the duration of any consumed drink.,47,44615,,,,
Online:Conservation of Energy,Class Mastery,"Spellcasting is second nature to you. A skill honed by tireless study. Upgrades rank 2 of Blood Magic to work with all abilities with a cost, excluding cost per tick abilities, and restores 600 Magicka and 600 Stamina when it activates. This effect scales off your Max Magicka and Stamina.",Storm Calling-Expert Mage,263870,12.0.0,"*This passive upgrades rank 2 of Blood Magic to also activate off any ability with a cost, excluding cost per tick abilities, and to also restore 2% Magicka and Stamina upon activation.",,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Constitution,Heavy Armor,Increases your Health Recovery by 2% for each piece of Heavy Armor equipped. You restore 108 Magicka and Stamina when you take damage for each piece of Heavy Armor equipped. This effect can occur once every 8 seconds.,Heavy Armor-Constitution,45526,1.3.3,* This passive now restores magicka and stamina when you take damage.,Passive Effect,Passive,Heavy Armor Boost,Increases your Health Recovery by 4% for each piece of Heavy Armor equipped. You restore 108 Magicka and Stamina when you take damage for each piece of Heavy Armor equipped. This effect can occur once every 4 seconds.,Health Recovery,6,,,,,Counter Attack,18,,,29769,45526,,,,,,,,,,Restore Magicka,,,Restore Stamina,,,,,,,,,,,,,,
Online:Consuming Darkness (skill),Shadow,"Duration: [10 / 11 / 12 / 13] seconds. Conjure a ring of shadow, reducing the Movement Speed of enemies by 70% and granting you and your allies Major Protection, reducing your damage taken by 10%. Allies in the area can activate the Hidden Refresh Synergy synergy, granting them invisibility, increasing their Movement Speed by 70%, and healing them for 24900 Health over 4 seconds.",Shadow-Consuming Darkness,37696,1.1.3,* Veil of Blades: This ability can now critical strike.,Area of Effect,Ultimate,Reduce Movement Speed,"Conjure a ring of shadow, reducing the Movement Speed of enemies by 70%, dealing [3809 / 3851 / 3894 / 3934] Magic Damage to them every 1 second, and granting you and your allies Major Protection, reducing your damage taken by 10%. Allies in the area can activate the Hidden Refresh Synergy synergy, granting them invisibility, increasing their Movement Speed by 70%, and healing them for 24900 Health over 4 seconds.",Reduce Damage Taken,,12,200 Ultimate,Area,Instant,Synergy,,ON-skill-Consuming Darkness.jpg,"Consuming/Bolstering Darkness visual, khajiit for scale",,,"Conjure a ring of shadow, reducing the Movement Speed of enemies by 70% and granting you and your allies Major Protection for [7 / 8 / 9 / 10] seconds, reducing your damage taken by 10%. Allies in the area can activate the Hidden Refresh Synergy synergy, granting them invisibility, increasing their Movement Speed by 70%, and healing them for 24900 Health over 4 seconds.",Bolstering Darkness,37744,Major Protection persists after leaving the area.,Veil of Blades,37713,Shadow-Veil of Blades,Enemies in the area take damage over time.,Shadow-Bolstering Darkness,Invisibility,,13 seconds,Increase Movement Speed,,,Heal Others,5 meters,,,Magic Damage,,,,Damage Over Time,,,
Online:Continuous Attack,Assault,"Increases your Weapon Damage and Spell Damage by 5% and Health, Magicka, and Stamina Recovery by 10% for 10 minutes after you capture a Lumber Mill, Farm, Mine, or Keep. Gain Gallop at all times, increasing your Mount Speed by 15%.",Assault-Continuous Attack,45614,1.1.4,* Fixed an issue where the weapon damage for this ability was not displaying properly in the character panel after a load screen.,Passive Effect,Passive,PvP Bonus,"Increases your Weapon Damage and Spell Damage by 10% and Health, Magicka, and Stamina Recovery by 20% for 10 minutes after you capture a Lumber Mill, Farm, Mine, or Keep. Gain Gallop at all times, increasing your Mount Speed by 15%.",Increase Weapon Damage,3,,,,,Increase Spell Damage,9,,,39248,45614,,,,,,,,,,Magicka Recovery,,,Stamina Recovery,,,,,,,,,,,,,,
Online:Controlled Fury,Dual Wield,WHILE DUAL WIELDING Reduces the Stamina cost of Dual Wield abilities by 7%.,Dual Wield-Controlled Fury,45478,3.0.5,"* Stamina abilities are now universally 15% cheaper than their Magicka counterparts, originally being 20% cheaper. ** This includes class abilities that morph into Stamina abilities, in addition to the Weapon Skill Line passive abilities which reduce the cost of abilities in that Skill Line (Balanced Blade, Controlled Fury, etc.)",Passive Effect,Passive,Reduce Skill Cost,WHILE DUAL WIELDING Reduces the Stamina cost of Dual Wield abilities by 15%.,,25,,,,,,34,,,30872,45478,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Core of Flame,Ardent Flame,"Let the fire within draw heat to your core, restoring 15% of your missing Magicka and Stamina every 2 seconds over 4 seconds. When this ability completes, you release this heat as a blast of fire that deals [5303 / 5361 / 5419 / 5477] Flame Damage to nearby enemies.",Ardent Flame-Core of Flame,33697,,,,,,"Let the fire within draw heat to your heart, restoring 15% of your missing Magicka and Stamina and healing [2479 / 2506 / 2533 / 2560] Health every 2 seconds over 4 seconds. When this ability completes, you release this heat as a blast of fire that deals 5478 Flame Damage to nearby enemies.",,,20,3510 Magicka,Area,Instant,,,,,,,"Let the fire within draw heat to your soul, restoring 15% of your missing Magicka and Stamina every 2 seconds over 4 seconds. Much of this heat is drawn from enemies around you. Those that are casting are interrupted, set Off Balance, and stunned for 2 seconds. When this ability completes, you release this heat as a blast of fire that deals [7305 / 7385 / 7465 / 7546] Flame Damage to nearby enemies.",Soul of Flame,33715,Initial hit interrupts enemies that are casting. Final explosion damage increased.,Heart of Flame,33732,Ardent Flame-Heart of Flame,Adds a heal based on max Health.,Ardent Flame-Soul of Flame,,,4 seconds,,,,,,,,,,,,,,,8 meters
Online:Corpse Consumption,Living Death,"When you consume a corpse, you generate 5 Ultimate. This effect can occur once every 16 seconds.",Living Death-Corpse Consumption,116285,,,Passive Effect,Passive,Ultimate Gain,"When you consume a corpse, you generate 10 Ultimate. This effect can occur once every 16 seconds.",,22,,,,,,36,,,116284,116285,,,,,,,,,,,Elsweyr,,,,,,,,,,,,,,,,
Online:Craftsman,Orc,Increases your experience gain with the Heavy Armor skill line by 15%. Increases your crafting inspiration gained by 10%.,Orc-Craftsman,33293,1.6.5,* This passive ability now has an icon.,Innate Effect,Passive,Increase Experience Gain,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Crag Smash,Ardent Warrior,"Bastian Hallix hurls a chunk of rock at an enemy, dealing 3245/6180 Physical Damage.",Companion-Crag Smash,155186,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,1,8 seconds,Enemy,0.4 seconds,,,,,,,,,,,,,,,,,Blackwood,,,,28 meters,,,Physical Damage,,,,,,,,,
Online:Crescent Scythe,Guardian's Commitment,"Zerith-var summons an implement of moonlight that slashes the enemy's life force, dealing 3150 Magic Damage. They heal for 2859 Health every 2 seconds for 6 seconds. The healing of this ability scales off their Max Health.",Companion-Crescent Scythe,,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,1,7.8 seconds,Cone,0.2 seconds,,,,,,,,,,,,,,,,,,,,,,,7 meters,Magic Damage,Heal Self,,,,,,,,
Online:Crimson Font,Undaunted (Companion),"Your Companion conjures a fountain of blood to sustain themselves and allies around it, healing for 185 Health every 1 second for 16 seconds. Allies near the fountain can activate the Crimson Funnel synergy, healing for 50% of their Max Health.",Companion-Crimson Font,155515,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,1,36 seconds,Area,0.6 seconds,,,,,,,,,,,,,,,,,Blackwood,16 seconds,,,,,28 meters,Heal Self,Heal Others,,,,,,Synergy,,
Online:Cripple,Siphoning,"Sap an enemy's agility and wrack them with pain, dealing [12276 / 12419 / 12551 / 12694] Magic Damage over 20 seconds and reducing their Movement Speed by 30% for 4 seconds.",Siphoning-Cripple,37864,1.4.3,* Shadow Cloak: This ability is no longer removed by the following ticking damage abilities. ** Agony ** Bat Swarm ** Caltrops ** Cripple ** Entropy ** Fire Rune ** Necrotic Orb ** Path of Darkness ** Soul Tether ** Trap Beast ** Volley ** Wall of Elements ** All elemental procs,Magic Damage,,Damage Over Time,"Cost: 2700 Magicka. Sap an enemy's agility and wrack them with pain, dealing [3175 / 3210 / 3244 / 3279] Magic Damage and an additional [11510 / 11630 / 11760 / 11900] Magic Damage over 20 seconds, immobilizing them for 2 seconds, and reducing their Movement Speed by 30% for 4 seconds.",Reduce Movement Speed,,20,2970 Magicka,Enemy,Instant,Increase Debuff Chance,,ON-skill-Cripple travel.jpg,Cripple and its morphs' projectile travel visual,,,"Sap an enemy's agility and wrack them with pain, dealing [12661 / 12793 / 12936 / 13090] Magic Damage over 20 seconds and reducing their Movement Speed by 50% for 4 seconds. This ability has a higher chance of applying the Overcharged status effect.",Debilitate,37887,Increases the snare potency and quintuples the chance to apply the Overcharged status effect.,Crippling Grasp,37913,Siphoning-Crippling Grasp,"Converts some of the damage over time into more up front damage, immobilizes the enemy on impact, and reduces the cost.",Siphoning-Debilitate,Restore Magicka,,20 seconds,Immobilize,Magicka,28 meters,Magicka Cost,,,,,,,,,,,
Online:Critical Charge,Two Handed,"Launch across the earth and smash an enemy, dealing [3690 / 3730 / 3771 / 3811] Physical Damage. This attack is always a Critical Strike.",Two Handed-Critical Charge,39793,1.2.3,* Critical Rush: This ability no longer increases the damage of weapon enchantments.,Charge,,Physical Damage,"Cost: [3510 / 3420 / 3330 / 3240] Stamina. Launch across the earth and smash an enemy, dealing 3811 Physical Damage. Deals up to 50% more damage based on the distance traveled. This attack is always a Critical Strike.",Critical Strike,,4,3780 Stamina,Enemy,Instant,Area of Effect,,ON-skill-Critical_Charge.jpg,Critical Charge striking a target,,,"Cost: 4590 Stamina, Duration: 15 seconds, Area: 5 meters. Launch across the earth and smash an enemy, dealing 3811 Physical Damage to them and all nearby enemies. This attack is always a Critical Strike. After reaching your target, you sunder the ground beneath you, dealing [844 / 852 / 861 / 872] Physical Damage to all enemies in the area every 1 second for 15 seconds.",Stampede,39807,"Increases the cost and the charge now deals damage in an area around the target, and leaves residual damage at the impact area.",Critical Rush,39822,Two Handed-Critical Rush,Deals more damage based on the distance traveled. Reduces the cost.,Two Handed-Stampede,Damage Over Time,,,Distance Bonus,Stamina,22 meters,Stamina Cost,,,,,,,,,,,
Online:Crushing Claws,Draconic Armor,"Bastian Hallix calls forth talons from the ground, dealing 1622/3090 Flame Damage to enemies nearby and immobilizing them for 4 seconds.",Companion-Crushing Claws,153812,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,5,16 seconds,Area,0.6 seconds,,,,,,,,,,,,,,,,,Blackwood,,,,,,6 meters,Flame Damage,Area of Effect,,,,,,Immobilize,,
Online:Crystal Blast (Companion),Lightning Caller,"Ember conjures dark crystals to bombard an enemy, dealing 3245/6180 Magic Damage.",Companion-Crystal Blast,164289,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,1,8 seconds,Enemy,0.8 seconds,,,,,,,,,,,,,,,,,High Isle,,,,28 meters,,,Magic Damage,,,,,,,,,
Online:Crystal Shard,Dark Magic,"Conjure dark crystals to bombard an enemy, dealing [6365 / 6435 / 6505 / 6575] Magic Damage. Your next non-Ultimate ability cast within 3 seconds costs 10% less.",Dark Magic-Crystal Shard,47552,1.2.3,* Crystal Blast: Increased this ability's area-of-effect damage. * Crystal Fragments: The sound and visual effects that indicate this ability can be cast instantly are more noticeable.,Magic Damage,,Reduce Skill Cost,"Conjure dark crystals to bombard an enemy, dealing [6574 / 6646 / 6718 / 6790] Magic Damage. Your next non-Ultimate ability cast within 3 seconds costs 10% less. While slotted on either bar, casting a non-Ultimate ability has a 33% chance of causing your next Crystal Fragments to be instant cast at half cost, dealing [10914 / 11034 / 11154 / 11274] Magic Damage.",Multiple Strikes,,1,2700 Magicka,Enemy,0.8 seconds,Physical Damage,,ON-skill-Crystal Shard.jpg,Crystal Shard,,,"Casting Time: Instant, Cost: 2295 Stamina, Duration: 6 seconds, Target: Self. Encase your weapon in dark crystals for 6 seconds, causing your next two Light or Heavy Attacks to deal additional damage and reduce the target's Armor by [700 / 800 / 900 / 1000] for 5 seconds. The first hit deals 5715 Physical Damage and the second deals 2285 Physical Damage. After casting, your next non-Ultimate ability used within 3 seconds costs 10% less.",Crystal Weapon,47560,"Converts the ability into an instant cast Stamina ability, which causes your next two Light or Heavy Attacks to deal bonus Physical Damage and reduce the enemy's Armor.",Crystal Fragments,47569,Dark Magic-Crystal Fragments,"Casting abilities has a chance to make your next Crystal Fragments instant, deal more damage, and cost less.",Dark Magic-Crystal Weapon,Reduce Armor,,,Light Attack Bonus,Magicka,28 meters,Heavy Attack Bonus,,,,Slotted Effect,,,,Increase Damage Dealt,,,
Online:Crystallized Shield,Winter's Embrace,"Spin a shield of ice around you, absorbing up to [16000 / 16175 / 16352 / 16528] damage from 3 projectiles. Each time you absorb a projectile you gain 2 Ultimate.",Winter's Embrace-Crystallized Shield,86138,3.0.8,* Shimmering Shield: Fixed an issue where the Major Heroism buff from this morph was being removed by other abilities that grant Minor Heroism.,Projectile Defense,,Counter Attack,"Cost: [4320 / 4230 / 4140 / 4050] Magicka. Spin a shield of ice around you, absorbing up to 16528 damage from 3 projectiles. Each time you absorb a projectile you gain 2 Ultimate and gain Major Heroism for 6 seconds, granting you 3 Ultimate every 1.5 seconds.",Frost Damage,,30,4320 Magicka,Self,Instant,Ultimate Gain,,ON-skill-Crystallized Shield.jpg,Crystallized Shield,,,"Spin a shield of ice around you, absorbing up to 24792 damage from 3 projectiles. Each time you absorb a projectile you launch an icy bolt back at the enemy, dealing [3175 / 3210 / 3244 / 3279] Frost Damage and stunning them for 3 seconds.",Crystallized Slab,86142,"Greatly increases the shield strength. Absorbing projectiles launches an icy bolt back at the enemy, damaging and stunning them, but no longer restores Ultimate.",Shimmering Shield,86146,Winter's Embrace-Shimmering Shield,Absorbing projectiles grants you Major Heroism and reduces the cost as the ability ranks up.,Winter's Embrace-Crystallized Slab,Magicka Cost,Crown Store,6 seconds,Stun,Magicka,,,,,,,,,,,,,
Online:Cunning,Khajiit (Companion),Increases Critical Chance by 3% and damage done by 3%.,Companion-Cunning,169474,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion Passive,,,,1,,,,,,,,,,,,,,,,,,,,,High Isle,,,,,,,Passive Effect,Increase Critical Chance,,,,,,Increase Damage Dealt,,
Online:Curative Curse,Living Death,"While you have a negative effect on you, your healing done is increased by 6%.",Living Death-Curative Curse,116287,11.0.5,"* This passive now increases your Healing Done by 6/12% while a negative effect is active on you, up from 4/8%.",Increase Healing Done,Passive,Passive Effect,"While you have a negative effect on you, your healing done is increased by 12%.",,8,,,,,,18,,,116286,116287,,,,,,,,,,,Elsweyr,,,,,,,,,,,,,,,,
Online:Cutpurse,Khajiit,Increases your experience gain with the Medium Armor skill line by 15%. Increases your chance to successfully pickpocket by 5%.,Khajiit-Cutpurse,36063,2.5.5,"* Medium Armor Expertise: This passive ability has been renamed to ""Cutpurse."" Also, in addition to the current benefit it now increases your chance to successfully pickpocket by 5%.",Innate Effect,Passive,Increase Experience Gain,,Escape Justice,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Cutthroat's Focus,Class Mastery,"This duel will be their last. For you, it's just another dance. Activating a Nightblade ability while bracing causes you to dodge attacks for 0.3 seconds. Whenever you dodge an attack, your attacker's psyche suffers, increasing their damage taken by 5% for 5 seconds, increasing to 20 seconds against monsters.",Class Mastery-Cutthroat's Focus,263606,12.0.0,*Was called Evasive Trance. This passive causes you to dodge incoming attacks for 1/3rd of a second when activating a Nightblade ability while Bracing. Dodging any attack through any means causes your attacker to take 5% increased damage for 5 seconds.,,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Cycle Unending,Class Mastery,"The cycle of life and death continues: you will live, others will die. Upgrades rank 2 of Reusable Parts to grant Cycle Unending for 25 seconds, increasing the potency of your damage done by 1% for every 1% Health you have more than your target. The damage bonus caps at 25%, or 10% against players.",Class Mastery-Cycle Unending,263509,12.0.0,"*Cycle Unending: This passive upgrades rank 2 of Reusable Parts to also grant Lord of the Cycle for 25 seconds, increasing your damage done by 1% for every 1% more current Health percent you have compared to your enemy. This bonus caps at 25% (12% against players). **If you have 75% current Health, and your enemy has 50%, you would gain 25% damage against them (12% if they are a player).",,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Cycle of Life,Restoration Staff,WITH RESTORATION STAFF EQUIPPED Your fully-charged Heavy Attacks restore 15% more Magicka.,Restoration Staff-Cycle of Life,45520,1.4.4,* The Restoration staff passive Cycle of Life now increases magicka restore instead of increasing damage.,Passive Effect,Passive,Heavy Attack Bonus,WITH RESTORATION STAFF EQUIPPED Your fully-charged Heavy Attacks restore 30% more Magicka.,Restore Magicka,25,,,,,,30,,,30972,45520,,,,,,,,,,,,,,,,,,,,,,,,,,,
